year,state,place,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2019,06,36000,30,1,0.23908755342498617,1
2019,06,36448,8,1,0.3131080541630667,1
2019,06,36546,2,1,0.2089308966859337,1
2019,06,36770,31,1,0.2288991428877386,1
2019,06,37692,8,1,0.3329522730982916,1
2019,06,39496,26,1,0.2599875945063779,1
2019,06,39892,1,1,0.2622644305689666,1
2019,06,40130,0,1,0.25146432253902246,1
2019,06,41992,9,1,0.2031589651192359,1
2019,06,43000,2,1,0.20660207586595805,1
2019,06,44000,2,1,0.20188689152557138,1
2019,06,45484,3,1,0.310926477708144,1
2019,06,46842,8,1,0.3213546083988348,1
2019,06,46898,0,1,0.31281519970041055,1
2019,06,47766,10,1,0.166384480957575,1
2019,06,48256,29,1,0.2662789510266468,1
2019,06,48354,0,1,0.28971516914689266,1
2019,06,49270,9,1,0.3262761487537469,1
2019,06,49670,20,1,0.1409063341681714,1
2019,06,50076,8,1,0.3130548139985913,1
2019,06,50258,4,1,0.23141240294268747,1
2019,06,51182,38,1,0.21628778014508526,1
2019,06,52526,1,1,0.27844822833185284,1
2019,06,53000,47,1,0.15726596838068665,1
2019,06,53322,31,1,0.23932826100921223,1
2019,06,53896,7,1,0.30823838214546684,1
2019,06,53980,29,1,0.2603927286302114,1
2019,06,54652,3,1,0.24506481371862315,1
2019,06,55156,0,1,0.279626661457492,1
2019,06,56000,2,1,0.20534988807230858,1
2019,06,56700,8,1,0.33935334950458906,1
2019,06,57456,9,1,0.19643052336168657,1
2019,06,57792,10,1,0.19733874948162472,1
2019,06,58072,1,1,0.26551210837037253,1
2019,06,59444,1,1,0.24711092471218354,1
2019,06,59451,9,1,0.2989804415936299,1
2019,06,59920,2,1,0.2991916745542246,1
2019,06,60102,12,1,0.17363004742777555,1
2019,06,60466,11,1,0.3124074107476348,1
2019,06,60620,16,1,0.1743718382683226,1
2019,06,62000,13,1,0.29965613212372005,1
2019,06,62938,0,1,0.2473498991915855,1
2019,06,64000,1,1,0.22878754155497769,1
2019,06,64224,4,1,0.295093291449984,1
