year,state,place,index_transit_trips,index_transit_trips_quality
2019,37,28080,97.03,1
2019,37,31400,87.5,1
2019,37,55000,99.46,1
2019,37,74440,9.39,1
2019,37,75000,92.57,1
2019,38,25700,100,1
2019,39,01000,99.42,1
2019,39,15000,89.05,1
2019,39,16000,99.67,1
2019,39,18000,99.75,1
2019,39,21000,99.59,1
2019,39,61000,99,1
2019,39,77000,98.92,1
2019,40,09050,99.45,1
2019,40,23200,98.5,1
2019,40,41850,99.18,1
2019,40,52500,99.59,1
2019,40,55000,99.73,1
2019,40,75000,100,1
2019,41,05350,98.67,2
2019,41,05800,96.82,1
2019,41,23850,99.2,1
2019,41,31250,98.94,1
2019,41,34100,98.41,1
2019,41,47000,93.37,1
2019,41,59000,99.73,1
2019,41,64900,85.68,1
2019,42,02000,99.09,1
2019,42,06088,97.68,1
2019,42,24000,98.24,1
2019,42,60000,99.66,1
2019,42,61000,99.72,1
2019,42,63624,4.5,1
2019,42,69000,98.47,1
2019,44,19180,88.24,1
2019,44,54640,91.18,1
2019,44,59000,97.06,1
2019,44,74300,100,1
2019,45,13330,98.99,1
2019,45,16000,99.24,1
2019,45,48535,97.98,1
2019,45,50875,98.74,1
2019,46,59020,99.74,1
2019,47,14000,99.07,1
2019,47,15160,5.48,1
2019,47,27740,53.96,1
2019,47,40000,98.37,1
2019,47,48000,99.53,1
2019,47,51560,96.74,1
2019,47,52006,98.6,1
2019,48,01000,99.09,1
2019,48,01924,95.2,1
2019,48,03000,98,1
2019,48,04000,97.37,1
2019,48,05000,99.14,1
2019,48,06128,97.94,1
2019,48,07000,92.74,1
2019,48,10768,99.2,1
2019,48,10912,83.76,1
2019,48,13024,98.8,1
2019,48,13552,66.12,1
2019,48,15976,99.26,1
2019,48,16432,4.43,2
2019,48,17000,99.31,1
2019,48,19000,99.03,1
2019,48,19972,97.66,1
2019,48,22660,95.08,1
2019,48,24000,99.43,1
2019,48,26232,95.94,1
2019,48,27000,98.68,1
2019,48,27684,97.14,1
2019,48,29000,98.97,1
2019,48,30464,98.34,1
2019,48,35000,99.66,1
2019,48,37000,98.91,1
2019,48,39148,93.65,1
2019,48,41464,98.51,1
2019,48,41980,95.65,1
2019,48,42508,98.06,1
2019,48,43888,95.71,1
2019,48,45000,98.4,1
2019,48,45384,97.26,1
2019,48,45744,97.2,1
2019,48,47892,98.74,1
2019,48,48072,98.17,1
2019,48,48768,95.43,1
2019,48,50820,95.03,1
2019,48,53388,96.91,1
2019,48,56000,98.57,1
2019,48,56348,96.46,1
2019,48,57200,94.11,1
2019,48,58016,98.46,1
2019,48,61796,98.86,1
2019,48,63500,73.81,1
2019,48,64472,99.77,1
2019,48,65000,99.83,1
2019,48,70808,89.37,1
2019,48,72176,90.88,1
2019,48,74144,96.57,1
2019,48,76000,99.89,1
2019,48,79000,96.74,1
2019,49,43660,95.11,1
2019,49,44320,89.3,1
2019,49,55980,97.25,1
2019,49,57300,94.19,1
2019,49,62470,96.33,1
2019,49,65330,85.93,1
2019,49,67000,99.39,1
2019,49,67440,98.78,1
2019,49,70850,96.02,1
2019,49,82950,97.55,1
2019,49,83470,97.86,1
2019,51,01000,98.65,1
2019,51,16000,97.97,1
2019,51,35000,98.14,1
2019,51,47672,96.28,1
2019,51,56000,74.62,1
2019,51,57000,99.49,1
2019,51,64000,99.66,1
2019,51,67000,98.48,1
2019,51,68000,94.75,1
2019,51,76432,94.08,1
2019,51,82000,98.31,1
2019,53,03180,82.35,1
2019,53,05210,86.25,1
2019,53,05280,98.57,1
2019,53,22640,99.21,1
2019,53,23515,80.05,1
2019,53,35275,97.77,1
2019,53,35415,79.65,1
2019,53,35940,81.4,1
2019,53,53545,98.09,1
2019,53,57745,83.39,1
2019,53,63000,99.05,1
2019,53,67000,99.68,1
2019,53,67167,97.93,1
2019,53,70000,99.36,1
2019,53,74060,99.52,1
2019,53,80010,65.58,1
2019,55,02375,98.58,1
2019,55,31000,98.97,1
2019,55,39225,99.22,1
2019,55,48000,99.48,1
2019,55,53000,99.74,1
2019,55,66000,99.1,1
