state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
29,38000,Missouri,Kansas City city,89.070%,86.856%,91.283%,1
29,41348,Missouri,Lee's Summit city,94.162%,89.479%,98.845%,1
29,54074,Missouri,O'Fallon city,94.840%,89.653%,100.000%,1
29,65000,Missouri,St. Louis city,87.200%,83.846%,90.554%,1
29,70000,Missouri,Springfield city,82.850%,79.057%,86.643%,1
30,06550,Montana,Billings city,92.041%,87.661%,96.420%,1
31,28000,Nebraska,Lincoln city,91.934%,89.747%,94.121%,1
31,37000,Nebraska,Omaha city,90.118%,88.513%,91.723%,1
32,31900,Nevada,Henderson city,92.894%,89.363%,96.424%,1
32,40000,Nevada,Las Vegas city,91.988%,89.235%,94.741%,1
32,51800,Nevada,North Las Vegas city,91.819%,87.436%,96.202%,1
32,60600,Nevada,Reno city,88.317%,84.798%,91.836%,1
32,68400,Nevada,Sparks city,93.296%,87.048%,99.544%,1
33,45140,New Hampshire,Manchester city,92.434%,87.027%,97.840%,1
33,50260,New Hampshire,Nashua city,92.451%,84.525%,100.000%,1
34,13690,New Jersey,Clifton city,92.425%,84.605%,100.000%,1
34,21000,New Jersey,Elizabeth city,88.022%,81.894%,94.151%,1
34,36000,New Jersey,Jersey City city,92.415%,89.085%,95.745%,1
34,51000,New Jersey,Newark city,87.427%,83.884%,90.971%,1
34,57000,New Jersey,Paterson city,88.077%,82.535%,93.618%,1
34,74000,New Jersey,Trenton city,80.415%,71.081%,89.749%,1
35,02000,New Mexico,Albuquerque city,90.823%,89.028%,92.618%,1
35,39380,New Mexico,Las Cruces city,90.933%,85.224%,96.641%,1
35,63460,New Mexico,Rio Rancho city,94.758%,90.499%,99.017%,1
35,70500,New Mexico,Santa Fe city,89.065%,84.911%,93.218%,1
36,01000,New York,Albany city,86.662%,80.501%,92.824%,1
36,11000,New York,Buffalo city,87.857%,84.226%,91.487%,1
36,50617,New York,New Rochelle city,88.005%,80.006%,96.004%,1
36,51000,New York,New York city,88.331%,87.764%,88.897%,1
36,63000,New York,Rochester city,83.533%,79.481%,87.585%,1
36,73000,New York,Syracuse city,87.225%,82.610%,91.840%,1
36,84000,New York,Yonkers city,90.477%,86.632%,94.322%,1
37,02140,North Carolina,Asheville city,89.276%,80.644%,97.907%,1
37,10740,North Carolina,Cary town,96.771%,92.582%,100.000%,1
37,12000,North Carolina,Charlotte city,93.788%,92.493%,95.084%,1
37,14100,North Carolina,Concord city,90.640%,84.583%,96.697%,1
37,19000,North Carolina,Durham city,94.997%,91.828%,98.165%,1
37,22920,North Carolina,Fayetteville city,91.890%,89.334%,94.445%,1
37,25580,North Carolina,Gastonia city,90.321%,83.896%,96.747%,1
37,28000,North Carolina,Greensboro city,89.437%,86.167%,92.706%,1
37,28080,North Carolina,Greenville city,90.333%,84.150%,96.515%,1
37,31400,North Carolina,High Point city,90.352%,83.505%,97.199%,1
37,55000,North Carolina,Raleigh city,94.104%,91.211%,96.997%,1
37,74440,North Carolina,Wilmington city,90.924%,85.219%,96.630%,1
37,75000,North Carolina,Winston-Salem city,88.593%,84.984%,92.201%,1
38,25700,North Dakota,Fargo city,89.119%,84.224%,94.014%,1
39,01000,Ohio,Akron city,88.960%,84.909%,93.010%,1
39,15000,Ohio,Cincinnati city,85.833%,82.630%,89.036%,1
39,16000,Ohio,Cleveland city,83.914%,80.976%,86.852%,1
39,18000,Ohio,Columbus city,93.489%,91.869%,95.109%,1
39,21000,Ohio,Dayton city,83.692%,77.519%,89.866%,1
39,61000,Ohio,Parma city,86.900%,81.542%,92.257%,1
39,77000,Ohio,Toledo city,85.757%,83.157%,88.357%,1
40,09050,Oklahoma,Broken Arrow city,94.716%,91.038%,98.393%,1
40,23200,Oklahoma,Edmond city,95.510%,90.524%,100.000%,1
40,41850,Oklahoma,Lawton city,90.524%,86.849%,94.199%,1
40,52500,Oklahoma,Norman city,92.580%,88.869%,96.291%,1
40,55000,Oklahoma,Oklahoma City city,91.755%,89.849%,93.661%,1
40,75000,Oklahoma,Tulsa city,85.656%,83.946%,87.367%,1
41,05350,Oregon,Beaverton city,93.954%,88.122%,99.787%,1
41,05800,Oregon,Bend city,93.223%,87.452%,98.993%,1
41,23850,Oregon,Eugene city,90.914%,86.312%,95.515%,1
41,31250,Oregon,Gresham city,90.093%,83.824%,96.362%,1
41,34100,Oregon,Hillsboro city,96.600%,91.157%,100.000%,1
41,47000,Oregon,Medford city,91.312%,84.713%,97.911%,1
41,59000,Oregon,Portland city,93.183%,91.650%,94.717%,1
41,64900,Oregon,Salem city,92.640%,88.305%,96.974%,1
42,02000,Pennsylvania,Allentown city,86.701%,80.784%,92.618%,1
42,06088,Pennsylvania,Bethlehem city,87.741%,80.695%,94.787%,1
42,24000,Pennsylvania,Erie city,85.305%,78.739%,91.871%,1
42,60000,Pennsylvania,Philadelphia city,88.364%,86.939%,89.790%,1
42,61000,Pennsylvania,Pittsburgh city,89.165%,85.827%,92.502%,1
42,63624,Pennsylvania,Reading city,82.834%,77.196%,88.471%,1
42,69000,Pennsylvania,Scranton city,87.146%,81.211%,93.082%,1
44,19180,Rhode Island,Cranston city,89.697%,82.989%,96.404%,1
44,54640,Rhode Island,Pawtucket city,87.502%,80.910%,94.094%,1
44,59000,Rhode Island,Providence city,86.804%,81.077%,92.532%,1
44,74300,Rhode Island,Warwick city,91.239%,86.098%,96.380%,1
45,13330,South Carolina,Charleston city,92.385%,86.547%,98.222%,1
45,16000,South Carolina,Columbia city,88.864%,83.466%,94.261%,1
45,48535,South Carolina,Mount Pleasant town,96.021%,90.472%,100.000%,1
45,50875,South Carolina,North Charleston city,89.374%,81.797%,96.950%,1
46,59020,South Dakota,Sioux Falls city,92.790%,90.314%,95.267%,1
47,14000,Tennessee,Chattanooga city,89.849%,85.568%,94.130%,1
47,15160,Tennessee,Clarksville city,95.203%,92.001%,98.404%,1
47,27740,Tennessee,Franklin city,95.487%,90.029%,100.000%,1
47,40000,Tennessee,Knoxville city,86.080%,81.797%,90.364%,1
47,48000,Tennessee,Memphis city,86.637%,84.436%,88.839%,1
47,51560,Tennessee,Murfreesboro city,93.676%,88.788%,98.564%,1
47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),91.017%,89.304%,92.731%,1
48,01000,Texas,Abilene city,90.772%,84.491%,97.053%,1
48,01924,Texas,Allen city,98.337%,90.978%,100.000%,1
48,03000,Texas,Amarillo city,89.248%,85.289%,93.207%,1
48,04000,Texas,Arlington city,89.625%,86.214%,93.035%,1
48,05000,Texas,Austin city,93.319%,91.925%,94.714%,1
