year,state,county,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,36,045,tenure,All,1.2807444456539254,1.3109848665833403,1.3921754160294444,1,1,1,0.5191627264715624,0.6553678037373598,0.8098417191919299,1,1,1
2024,36,047,tenure,All,0.7041199544633355,1.0490876489821748,1.1714543848254166,1,1,1,0.4249542158536887,0.7058917835671342,0.8999843008813054,1,1,1
2023,36,047,tenure,All,0.6492419260784873,1.0205603923665654,1.17238813885706,1,1,1,0.40626434571148523,0.6685751646001137,0.8939584301270281,1,1,1
2022,36,047,tenure,All,0.6110126894527934,0.9697270991427881,1.1497597974963625,1,1,1,0.3644285261205386,0.6246442538578811,0.8716494907346168,1,1,1
2021,36,047,tenure,All,0.5882666471232931,0.8895356368882028,1.1521302653348664,1,1,1,0.35385609636659815,0.5822422662869614,0.8707377738242257,1,1,1
2019,36,047,tenure,All,0.6183065583345039,0.9198972919141379,1.184786129941808,1,1,1,0.39008080554179636,0.588639717792736,0.8589117523546703,1,1,1
2018,36,047,tenure,All,0.5366266074735325,0.8872082213701975,1.1615512117055327,1,1,1,0.34126530458564236,0.5741616061641777,0.857269896984857,1,1,1
2017,36,047,tenure,All,0.5679204514762535,0.8436062799391894,1.1490484142537747,1,1,1,0.3709824157391218,0.549972749959364,0.8489711281017969,1,1,1
2016,36,047,tenure,All,0.5238701344537184,0.8063436447166922,1.1241783967369796,1,1,1,0.3341743730687062,0.5296416539050536,0.8235204105861723,1,1,1
2015,36,047,tenure,All,0.5107136107921094,0.7671185637002392,1.1305402433313632,1,1,1,0.33243084124376737,0.5115560632512159,0.8380146938890048,1,1,1
2014,36,047,tenure,All,0.5029985496736766,0.750168850623871,1.1021829439948492,1,1,1,0.3292603335750544,0.503516065932371,0.8283217633420208,1,1,1
2024,36,049,tenure,All,1.5100237970075194,1.4467463850982598,1.5343103306699242,3,3,3,0.577605634388723,0.6162202425624616,0.8983189872372618,3,3,3
2023,36,049,tenure,All,1.6149108475246248,1.5609588827809775,1.5255868064305318,3,3,3,0.7215390895995536,0.7597981733380096,0.9964838549303661,3,3,3
2022,36,049,tenure,All,1.596481891105955,1.7016068187315188,1.9672789653653806,3,3,3,0.8650555285238136,1.0134499876886733,1.3383653639966888,3,3,3
2021,36,049,tenure,All,1.7833078105139153,1.9990729564694918,1.850335817344077,3,3,3,0.7500782150917681,0.9513141135652947,1.0832317182582594,3,3,3
2019,36,049,tenure,All,1.7017394071728071,1.7764499432577328,1.9654139272746718,3,3,3,0.7642507646142029,0.9315336402550626,1.3678112518904595,3,3,3
2018,36,049,tenure,All,1.7667647350274909,1.7747627786269125,2.129042941608631,3,3,3,0.7964722726232096,1.0017493788138843,1.4578607235386387,3,3,3
2017,36,049,tenure,All,1.7372514504898433,1.7844863408476237,2.211215654799152,3,3,3,0.9389873567846099,1.0188663991189082,1.602476588617099,3,3,3
2016,36,049,tenure,All,1.7494896643885711,1.9300048859951062,1.9605600099848084,3,3,3,1.0081903604442548,1.1945024096613333,1.4168097678962617,3,3,3
2015,36,049,tenure,All,1.44577569060722,1.698816869899386,1.7971555318582622,3,3,3,0.5952434481509876,0.8655638246857026,1.1759207108521084,3,3,3
2014,36,049,tenure,All,1.4317905209630637,1.557449469792566,1.7665727044463946,3,3,3,0.670208801780702,0.861145425162161,1.141151995675852,3,3,3
2024,36,051,tenure,All,1.5983383722341034,1.7685532110945492,1.651614268070115,2,2,2,0.5457112392724554,0.7819400272553858,0.9310585830747748,2,2,2
