year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,06,22230,race-ethnicity,Hispanic,22483.8438,1,44748.146817,1,81858.2376,1
2018,06,22230,race-ethnicity,Other Races and Ethnicities,20402.138067101096,1,54283.51775,1,105996.560175,1
2018,06,22230,race-ethnicity,"White, Non-Hispanic",24408.813792,1,53792.38825261191,1,108097.4499,1
2018,06,22230,all,All,22490.7534,1,52174.4955,1,95737.6665,1
2018,06,22804,race-ethnicity,"Black, Non-Hispanic",20264.609856,1,57388.458325,1,101713.7792,1
2018,06,22804,race-ethnicity,Hispanic,25689.256545,1,50609.130064,1,93225.558666,1
2018,06,22804,race-ethnicity,Other Races and Ethnicities,27515.88455,1,85296.354552,1,159187.959568,1
2018,06,22804,race-ethnicity,"White, Non-Hispanic",30039.391623,1,80130.450876,1,150951.45300000004,1
2018,06,22804,all,All,25833.9735,1,66256.5438,1,133728.804,1
2018,06,23182,race-ethnicity,"Black, Non-Hispanic",25695.677425,1,67776.1893,1,129684.636304,1
2018,06,23182,race-ethnicity,Hispanic,33739.08418,1,65264.49752399999,1,118649.80545794938,1
2018,06,23182,race-ethnicity,Other Races and Ethnicities,43505.395536000004,1,94218.021,1,172167.3448,1
