year,state,county,pctl_20,pctl_50,pctl_80
2018,16,005,23402.54,52275.81,96649.45
2018,16,007,23402.54,52275.81,96649.45
2018,16,009,23301.23,47797.92,96244.21
2018,16,011,20616.52,50350.92,99384.82
2018,16,013,27353.62,52681.04,89152.54
2018,16,015,21163.60,50350.92,88544.68
2018,16,017,23301.23,47797.92,96244.21
2018,16,019,28873.26,59772.72,111643.3
2018,16,021,23301.23,47797.92,96244.21
2018,16,023,21163.60,50350.92,88544.68
2018,16,025,27353.62,52681.04,89152.54
2018,16,027,27758.86,58354.39,101309.7
2018,16,029,23402.54,52275.81,96649.45
2018,16,031,24213.02,52681.04,97257.31
2018,16,033,21163.60,50350.92,88544.68
2018,16,035,21163.60,50350.92,88544.68
2018,16,037,21163.60,50350.92,88544.68
2018,16,039,27353.62,52681.04,89152.54
2018,16,041,23402.54,52275.81,96649.45
2018,16,043,20616.52,50350.92,100448.6
2018,16,045,23301.23,56834.74,128359.4
2018,16,047,27353.62,52681.04,89152.54
2018,16,049,21163.60,50350.92,88544.68
2018,16,051,20616.52,50350.92,100448.6
2018,16,053,27353.62,52681.04,89152.54
2018,16,055,25327.42,54504.62,101309.7
2018,16,057,23301.23,47797.92,96244.21
2018,16,059,21163.60,50350.92,88544.68
2018,16,061,21163.60,50350.92,88544.68
2018,16,063,27353.62,52681.04,89152.54
2018,16,065,20616.52,50350.92,100448.6
2018,16,067,27353.62,52681.04,89152.54
2018,16,069,21163.60,50350.92,88544.68
2018,16,071,23402.54,52275.81,96649.45
2018,16,073,28690.91,54200.69,92698.38
2018,16,075,23301.23,56834.74,128359.4
2018,16,077,23402.54,52275.81,96649.45
2018,16,079,23301.23,47797.92,96244.21
2018,16,081,20616.52,50350.92,100448.6
2018,16,083,24213.02,52681.04,97257.31
2018,16,085,21163.60,50350.92,88544.68
2018,16,087,23301.23,56834.74,128359.4
2018,17,001,23402.54,52681.04,103842.4
2018,17,003,19552.77,47210.32,92191.83
2018,17,005,21680.28,56530.81,103386.5
2018,17,007,25327.42,69407.28,123699.1
2018,17,009,23402.54,52681.04,103842.4
2018,17,011,22186.82,54707.24,104349.0
2018,17,013,22288.13,53998.07,100600.5
2018,17,015,25327.42,55720.33,100296.6
2018,17,017,22288.13,53998.07,100600.5
2018,17,019,18640.98,52681.04,109414.5
2018,17,021,23503.85,53592.83,101309.7
2018,17,023,22288.13,49135.20,91178.73
2018,17,025,22288.13,49135.20,91178.73
2018,17,027,21680.28,56530.81,103386.5
2018,17,029,23605.16,50857.47,86113.24
2018,17,031,24314.33,62710.70,135045.8
2018,17,033,22288.13,49135.20,91178.73
2018,17,035,23605.16,50857.47,86113.24
2018,17,037,21781.59,60887.13,123597.8
2018,17,039,23503.85,53592.83,101309.7
2018,17,041,23605.16,50857.47,86113.24
2018,17,043,41536.98,95231.12,176126.9
2018,17,045,23605.16,50857.47,86113.24
2018,17,047,19552.77,47210.32,92191.83
2018,17,049,21680.28,56530.81,103386.5
2018,17,051,21680.28,56530.81,103386.5
