year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,02,068,race-ethnicity,Hispanic,NA,NA
2014,02,068,race-ethnicity,Other Races and Ethnicities,0,3
2014,02,068,race-ethnicity,"White, Non-Hispanic",0,3
2014,02,070,all,All,0,1
2014,02,070,race-ethnicity,Black,NA,NA
2014,02,070,race-ethnicity,Hispanic,NA,NA
2014,02,070,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,070,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,090,all,All,0,1
2014,02,090,race-ethnicity,Black,0,2
2014,02,090,race-ethnicity,Hispanic,0,2
2014,02,090,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,090,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,100,all,All,0,2
2014,02,100,race-ethnicity,Black,NA,NA
2014,02,100,race-ethnicity,Hispanic,NA,NA
2014,02,100,race-ethnicity,Other Races and Ethnicities,0,2
2014,02,100,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,105,all,All,0,1
2014,02,105,race-ethnicity,Black,NA,NA
2014,02,105,race-ethnicity,Hispanic,NA,NA
2014,02,105,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,105,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,110,all,All,0,1
2014,02,110,race-ethnicity,Black,0,3
2014,02,110,race-ethnicity,Hispanic,0,2
2014,02,110,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,110,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,122,all,All,0,1
2014,02,122,race-ethnicity,Black,NA,NA
2014,02,122,race-ethnicity,Hispanic,0,2
2014,02,122,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,122,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,130,all,All,0,1
2014,02,130,race-ethnicity,Black,NA,NA
2014,02,130,race-ethnicity,Hispanic,0,3
2014,02,130,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,130,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,150,all,All,0,1
2014,02,150,race-ethnicity,Black,0,3
2014,02,150,race-ethnicity,Hispanic,0,2
2014,02,150,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,150,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,164,all,All,0,1
2014,02,164,race-ethnicity,Black,NA,NA
2014,02,164,race-ethnicity,Hispanic,NA,NA
2014,02,164,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,164,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,02,170,all,All,0,1
2014,02,170,race-ethnicity,Black,0,2
2014,02,170,race-ethnicity,Hispanic,0,2
2014,02,170,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,170,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,180,all,All,0,1
2014,02,180,race-ethnicity,Black,NA,NA
2014,02,180,race-ethnicity,Hispanic,NA,NA
2014,02,180,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,180,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,185,all,All,0,1
2014,02,185,race-ethnicity,Black,NA,NA
2014,02,185,race-ethnicity,Hispanic,NA,NA
2014,02,185,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,185,race-ethnicity,"White, Non-Hispanic",0,3
2014,02,188,all,All,0,1
2014,02,188,race-ethnicity,Black,NA,NA
2014,02,188,race-ethnicity,Hispanic,NA,NA
2014,02,188,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,188,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,195,all,All,0,2
2014,02,195,race-ethnicity,Black,NA,NA
2014,02,195,race-ethnicity,Hispanic,0,3
2014,02,195,race-ethnicity,Other Races and Ethnicities,0,3
2014,02,195,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,198,all,All,0.00508646998982706,1
2014,02,198,race-ethnicity,Black,NA,NA
2014,02,198,race-ethnicity,Hispanic,NA,NA
2014,02,198,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,198,race-ethnicity,"White, Non-Hispanic",0.01179245283018868,1
2014,02,220,all,All,0,1
2014,02,220,race-ethnicity,Black,NA,NA
2014,02,220,race-ethnicity,Hispanic,0,3
2014,02,220,race-ethnicity,Other Races and Ethnicities,0,2
2014,02,220,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,230,all,All,0,2
2014,02,230,race-ethnicity,Black,NA,NA
2014,02,230,race-ethnicity,Hispanic,NA,NA
2014,02,230,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,02,230,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,240,all,All,0,1
