year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2016,06,66000,0.1381278012841902,1
2018,06,66000,0.0874718738325872,1
2021,06,66000,0.03838504762077066,1
2023,06,66000,0.060311279352945966,1
2014,06,67000,0.07202200723727938,1
2016,06,67000,0.04724515262046458,1
2018,06,67000,0.025521892040138095,1
2021,06,67000,0.03770170926553929,1
2023,06,67000,0.042244792563263904,1
2014,06,68000,0.007616620070806036,1
2016,06,68000,0.007412760152361872,1
2018,06,68000,0.008160632928819276,1
2021,06,68000,0.010315922783634154,1
2023,06,68000,0.010333460495861804,1
2014,06,68084,0,1
2016,06,68084,0,1
2018,06,68084,0,1
2021,06,68084,0,1
2023,06,68084,0,1
2014,06,68196,0,1
2016,06,68196,0,1
2018,06,68196,0,1
2021,06,68196,0,1
2023,06,68196,0,1
2014,06,68252,0,1
2016,06,68252,0,1
2018,06,68252,0,1
2021,06,68252,0,1
2023,06,68252,0,1
2014,06,68378,0,2
2016,06,68378,0,2
2018,06,68378,0,2
2021,06,68378,0,2
2023,06,68378,0,2
2014,06,69000,0.15354883033923347,1
2016,06,69000,0.08394424904393713,1
2018,06,69000,0,1
2021,06,69000,0,1
2023,06,69000,0,1
2014,06,69070,0,1
2016,06,69070,0,1
2018,06,69070,0,1
2021,06,69070,0,1
2023,06,69070,0,1
2014,06,69084,0,1
2016,06,69084,0,1
2018,06,69084,0,1
2021,06,69084,0,1
2023,06,69084,0,1
2014,06,69088,0,1
2016,06,69088,0,1
2018,06,69088,0,1
2021,06,69088,0,1
2023,06,69088,0,1
2014,06,69196,0,1
2016,06,69196,0,1
2018,06,69196,0,1
2021,06,69196,0,1
2023,06,69196,0,1
2014,06,70000,0,1
2016,06,70000,0,1
2018,06,70000,0,1
2021,06,70000,0,1
2023,06,70000,0,1
2014,06,70098,0,1
2016,06,70098,0,1
2018,06,70098,0,1
2021,06,70098,0,1
2023,06,70098,0,1
2014,06,72016,0,1
2016,06,72016,0,1
2018,06,72016,0,1
2021,06,72016,0,1
2023,06,72016,0,1
2014,06,73080,0,1
2016,06,73080,0,1
2018,06,73080,0,1
2021,06,73080,0,1
2023,06,73080,0,1
2014,06,75000,0.3247641131006284,1
2016,06,75000,0.24701702341936493,1
2018,06,75000,0.11894621174965167,1
2021,06,75000,0.06288978540329733,1
2023,06,75000,0.10989830986629322,1
2014,06,77000,0,1
2016,06,77000,0,1
2018,06,77000,0,1
2021,06,77000,0,1
2023,06,77000,0,1
2014,06,78120,0,1
2016,06,78120,0,1
2018,06,78120,0,1
2021,06,78120,0,1
2023,06,78120,0,1
2014,06,78582,0,1
2016,06,78582,0,1
2018,06,78582,0,1
2021,06,78582,0,1
2023,06,78582,0,1
2014,06,80000,0,1
2016,06,80000,0,1
2018,06,80000,0,1
2021,06,80000,0,1
2023,06,80000,0,1
2014,06,80238,0,1
2016,06,80238,0,1
2018,06,80238,0,1
2021,06,80238,0,2
2023,06,80238,0,2
2014,06,80854,0,1
2016,06,80854,0,1
2018,06,80854,0,1
2021,06,80854,0,2
2023,06,80854,0,2
2014,06,81344,0,1
2016,06,81344,0,1
2018,06,81344,0,1
2021,06,81344,0,1
2023,06,81344,0,1
2014,06,81554,0,1
2016,06,81554,0,1
2018,06,81554,0,1
2021,06,81554,0,2
2023,06,81554,0,2
2014,06,81666,0.09979631454239352,1
2016,06,81666,0.12052835486358662,1
2018,06,81666,0.08873418894079797,1
2021,06,81666,0,1
2023,06,81666,0.08135191722879619,1
2014,06,82590,0.11526769694482579,1
2016,06,82590,0.3298836986212098,1
2018,06,82590,0.38913770052794605,1
2021,06,82590,0.08514171910095789,1
2023,06,82590,0,1
2014,06,82954,0.22871935983466896,1
2016,06,82954,0.24715820134328115,1
2018,06,82954,0.12733387840141688,1
2021,06,82954,0.1721685016497234,1
2023,06,82954,0.10417685533274273,1
