year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,44000,race-ethnicity,Hispanic,0.2741391559339703,1
2014,06,44000,race-ethnicity,Other Races and Ethnicities,0.28896006757724796,1
2014,06,44000,race-ethnicity,"White, Non-Hispanic",0.08225208678785108,1
2014,06,45484,all,All,0,1
2014,06,45484,race-ethnicity,Black,0,3
2014,06,45484,race-ethnicity,Hispanic,0,2
2014,06,45484,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,45484,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,46842,all,All,0,1
2014,06,46842,race-ethnicity,Black,0,3
2014,06,46842,race-ethnicity,Hispanic,0,2
2014,06,46842,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,46842,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,46898,all,All,0.29901035126578923,1
2014,06,46898,race-ethnicity,Black,0.22040650921554678,2
2014,06,46898,race-ethnicity,Hispanic,0.3899231426351734,1
2014,06,46898,race-ethnicity,Other Races and Ethnicities,0.3502850946354061,1
2014,06,46898,race-ethnicity,"White, Non-Hispanic",0.08942506856538371,1
2014,06,47766,all,All,0,1
2014,06,47766,race-ethnicity,Black,0,3
2014,06,47766,race-ethnicity,Hispanic,0,2
2014,06,47766,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,47766,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,48256,all,All,0,1
2014,06,48256,race-ethnicity,Black,0,3
2014,06,48256,race-ethnicity,Hispanic,0,2
2014,06,48256,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,48256,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,48354,all,All,0.12071198535163806,1
2014,06,48354,race-ethnicity,Black,0.08989360396789069,2
2014,06,48354,race-ethnicity,Hispanic,0.17571298185822903,1
2014,06,48354,race-ethnicity,Other Races and Ethnicities,0.14663120592829548,1
2014,06,48354,race-ethnicity,"White, Non-Hispanic",0.05219124934627208,1
2014,06,49270,all,All,0.08490644732153761,1
2014,06,49270,race-ethnicity,Black,0.026611166647982094,1
2014,06,49270,race-ethnicity,Hispanic,0.12739015523264607,1
2014,06,49270,race-ethnicity,Other Races and Ethnicities,0.08932100045713778,1
2014,06,49270,race-ethnicity,"White, Non-Hispanic",0.028685836561132695,1
2014,06,49670,all,All,0,1
2014,06,49670,race-ethnicity,Black,0,3
2014,06,49670,race-ethnicity,Hispanic,0,2
2014,06,49670,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,49670,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,50076,all,All,0,1
2014,06,50076,race-ethnicity,Black,0,3
2014,06,50076,race-ethnicity,Hispanic,0,2
2014,06,50076,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,50076,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,50258,all,All,1.1516088794591572e-4,1
2014,06,50258,race-ethnicity,Black,0.0015514700178419054,3
2014,06,50258,race-ethnicity,Hispanic,2.7950585435364007e-5,2
2014,06,50258,race-ethnicity,Other Races and Ethnicities,6.875762859522816e-5,2
2014,06,50258,race-ethnicity,"White, Non-Hispanic",1.950674008184832e-4,1
2014,06,51182,all,All,0,1
2014,06,51182,race-ethnicity,Black,0,3
2014,06,51182,race-ethnicity,Hispanic,0,3
2014,06,51182,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,51182,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,52526,all,All,0.025124400515248873,1
2014,06,52526,race-ethnicity,Black,0.0526460684429707,3
2014,06,52526,race-ethnicity,Hispanic,0.00889922958246301,1
2014,06,52526,race-ethnicity,Other Races and Ethnicities,0.009133779292510916,1
2014,06,52526,race-ethnicity,"White, Non-Hispanic",0.13364450789237975,2
2014,06,53000,all,All,0.14265684751703192,1
2014,06,53000,race-ethnicity,Black,0.15838377503335577,1
2014,06,53000,race-ethnicity,Hispanic,0.11859051943576165,1
2014,06,53000,race-ethnicity,Other Races and Ethnicities,0.150699281504498,1
2014,06,53000,race-ethnicity,"White, Non-Hispanic",0.12659152133057344,1
2014,06,53322,all,All,0,1
2014,06,53322,race-ethnicity,Black,0,2
2014,06,53322,race-ethnicity,Hispanic,0,1
2014,06,53322,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,53322,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,53896,all,All,0.08446751741638855,1
2014,06,53896,race-ethnicity,Black,0,2
2014,06,53896,race-ethnicity,Hispanic,0.1018412358573721,1
2014,06,53896,race-ethnicity,Other Races and Ethnicities,0.07807827650420904,1
2014,06,53896,race-ethnicity,"White, Non-Hispanic",0.007068704413925235,2
2014,06,53980,all,All,0,1
2014,06,53980,race-ethnicity,Black,0,3
