year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,49,70850,963.2305269982402,259.33129573029544,333.425951653237,1
2021,49,82950,1151.426645697596,241.51875982925185,370.70321276117727,1
2021,49,83470,1366.9456688623645,435.83774949234805,539.8444851666584,1
2021,51,01000,1165.4135338345864,413.5338345864661,338.34586466165416,1
2021,51,16000,218.11785400175904,45.73438874230431,70.36059806508355,1
2021,51,35000,1320.8351086493396,205.93665672489703,99.41769634995029,2
2021,51,47672,2822.822822822823,90.09009009009009,225.22522522522522,1
2021,51,56000,886.2125774015792,335.17014145316136,187.46804521956483,1
2021,51,57000,803.4610630407911,118.4590028842192,396.5801400906469,1
2021,51,64000,157.26567414552315,0,31.453134829104634,1
2021,51,67000,285.825646355723,142.9128231778615,64.96037417175523,1
2021,51,68000,720.7401032702237,107.57314974182444,75.30120481927712,2
2021,51,76432,452.66679787443417,137.76815587482778,78.7246604999016,1
2021,51,82000,1126.978855308314,376.39765304992807,172.70009963467285,1
2021,53,03180,281.6334741500704,110.64172198752766,110.64172198752766,1
2021,53,05210,361.7277821122065,134.76133059082204,170.22483864103836,1
2021,53,05280,1080.5860805860805,293.040293040293,402.930402930403,1
2021,53,22640,675.146771037182,391.38943248532286,156.55577299412917,1
2021,53,23515,457.72751750134626,152.57583916711542,152.57583916711542,1
2021,53,35275,2526.1720527992716,1069.6404187528447,830.6781975421028,1
2021,53,35415,818.0839612486544,258.34230355220666,243.98995335486185,1
2021,53,35940,362.8174652821219,225.19704741648943,62.55473539346928,1
2021,53,53545,1285.240464344942,588.7230514096186,281.92371475953564,1
2021,53,57745,230.1736765013601,125.54927809165098,83.69951872776731,1
2021,53,63000,154.49799854865518,112.3621807626583,32.77230272244201,1
2021,53,67000,824.2148642887594,464.212969541945,208.422149590261,1
2021,53,67167,898.0740099545553,530.1882709370267,270.5042198658299,1
2021,53,70000,470.64908197569173,201.7067494181536,217.22265321955004,1
2021,53,74060,287.03286807744263,129.4461954074741,112.56190904997747,2
