year,state,county,total_people,crime_violent_rate,crime_property_rate,crime_rate_quality,agencies_reporting,core_reporting
2021,21,219,12206,557.1030640668524,999.5084384728822,3,0.75,NA
2021,21,221,14067,710.8836283500391,1556.8351460865856,3,0.6666666666666666,NA
2021,21,223,8502,141.14326040931547,470.47753469771817,3,0.5,NA
2021,21,225,13786,500.5077614971711,957.4931089511098,3,0.75,NA
2021,21,227,133216,860.257026183041,4237.478981503724,2,0.5,1
2021,21,229,11957,384.71188425190263,476.70820439909676,1,1,NA
2021,21,231,19743,314.03535430279084,759.762953958365,1,1,NA
2021,21,233,12994,246.26750808065262,538.7101739264276,1,1,NA
2021,21,235,36578,234.46545850689532,1162.265072982935,3,0.5,NA
2021,21,237,6666,135.01350135013502,270.02700270027003,3,0.5,NA
2021,21,239,26758,624.112414978698,1816.279243590702,3,0.4,NA
2021,22,001,58200,333.91459221099467,533.617918406978,3,0.625,NA
2021,22,003,23085,NA,NA,NA,0,NA
2021,22,005,125289,1316.9551995785744,3202.196521641964,3,0.5,NA
2021,22,007,21366,NA,NA,NA,0,NA
2021,22,009,39880,536.6098294884654,1436.8104312938817,3,0.375,NA
2021,22,011,36417,551.6119481483726,982.9346184699149,3,0.6666666666666666,NA
2021,22,013,13130,990.0990099009902,1934.5011424219347,3,0.2,NA
2021,22,015,128508,2417.7483113891744,4067.451053630902,3,0.5555555555555556,0.5
2021,22,017,239775,97.17443436555104,398.2900636012929,3,0.42857142857142855,0
2021,22,019,212646,1778.5427423981641,5012.556079117407,2,0.875,1
2021,22,021,9707,NA,NA,NA,0,NA
2021,22,023,5650,NA,NA,NA,0,NA
2021,22,025,9117,723.922342875946,1700.1206537238127,3,0.25,NA
2021,22,027,14456,228.27891532927504,587.9911455451024,3,0.3333333333333333,NA
2021,22,029,18989,679.3406709147401,1042.708936752857,3,0.5,NA
2021,22,031,26803,552.1769951124875,1320.7476774987874,3,0.6666666666666666,NA
2021,22,033,455447,1517.1908037598228,4863.354023629533,2,0.6666666666666666,1
2021,22,035,7502,479.8720341242335,599.8400426552919,3,0.5,NA
2021,22,037,19588,66.36716356953237,20.420665713702267,3,0.2,NA
2021,22,039,32538,14.326963345015319,4.408296413850867,3,0.25,NA
2021,22,041,19964,1257.2630735323582,1467.6417551592867,3,0.25,NA
2021,22,043,22236,840.9785932721712,1794.3874797625472,3,0.25,NA
2021,22,045,70518,NA,NA,NA,0,NA
2021,22,047,30651,1305.014518286516,1641.0557567452938,3,0.2857142857142857,NA
2021,22,049,15214,499.5398974628631,985.9340081503877,3,0.25,NA
2021,22,051,439402,1318.155129016254,3186.603611271683,2,0.8333333333333334,NA
2021,22,053,32270,61.97706848466068,362.56585063526495,3,0.3333333333333333,NA
2021,22,055,241173,267.5717541769621,556.4043107026877,3,0.2222222222222222,0
2021,22,057,97677,1421.0100637816477,2786.735874361416,2,0.6,1
2021,22,059,14770,NA,NA,NA,0,NA
2021,22,061,48415,1262.0055767840545,3393.5763709594135,3,0.5,NA
2021,22,063,141057,1746.8115726266685,2299.0705884855056,3,0.25,NA
2021,22,065,10297,1077.9838787996503,1048.8491793726328,3,0.6666666666666666,NA
2021,22,067,25852,1319.0468822528237,3875.909020578679,3,0.4,NA
2021,22,069,37896,NA,NA,NA,0,NA
2021,22,071,383974,0.5208686004781574,3.1252116028689443,3,0.25,0
2021,22,073,160227,2651.8626698371686,5564.605216349305,2,0.6666666666666666,1
2021,22,075,23536,616.0774983004758,841.2644459551326,1,1,NA
2021,22,077,20951,701.6371533578349,1408.047348575247,3,0.3333333333333333,NA
2021,22,079,130459,2751.0558872902598,5299.749346537993,2,0.2222222222222222,1
2021,22,081,7787,NA,NA,NA,0,NA
2021,22,083,20110,507.21034311287923,815.514669318747,3,0.5,NA
2021,22,085,22377,NA,NA,NA,0,NA
2021,22,087,43821,867.1641450446133,1643.047853768741,1,1,NA
2021,22,089,52411,1057.0300127835758,2073.9921008948504,1,1,NA
2021,22,091,10881,790.3685323040161,1167.1721349140703,3,0.6666666666666666,NA
2021,22,093,20390,2089.259440902403,3163.3153506620897,1,1,NA
2021,22,095,42704,1018.6399400524541,2767.8905957287375,1,1,NA
2021,22,097,82999,1333.834158181631,3325.2333410266087,3,0.5,NA
2021,22,099,52222,1117.575275457897,2164.2078262615987,3,0.5,NA
2021,22,101,49818,1615.8818097876267,2870.4484322935486,3,0.7142857142857143,NA
2021,22,103,262799,356.16573883462263,888.5117523278246,3,0.42857142857142855,NA
2021,22,105,132492,1489.9012770582376,3170.0027171451857,2,0.4,1
2021,22,107,4269,0,23.4246896228625,3,0.25,NA
2021,22,109,110100,1748.4105358764762,3794.7320617620344,1,1,1
2021,22,111,21272,42.30913877397518,56.41218503196691,3,0.5,NA
2021,22,113,57775,1201.2115967113805,1895.283427087841,3,0.5,NA
2021,22,115,49064,120.4946128379406,348.61548180297376,3,0.2,NA
2021,22,117,45794,1419.3999213870811,2723.0641568764468,3,0.6666666666666666,NA
2021,22,119,37356,425.63443623514297,861.9766570296606,3,0.7142857142857143,NA
2021,22,121,27064,798.1081879988176,3140.7035175879396,3,0.75,NA
2021,22,123,9959,150.6175318807109,240.98805100913745,3,0.3333333333333333,NA
2021,22,125,15334,502.15208034433283,254.33676796661015,3,0.5,NA
2021,22,127,13875,418.01801801801804,533.3333333333334,3,0.5,NA
