year,metro,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,32820,1.0119181,.97770095,1.0461352,1
2017,32860,1.0448278,.83801937,1.2516363,1
2017,32900,1.0302471,.95745546,1.1030387,1
2017,32940,1.0682447,.94322664,1.1932627,1
2017,32980,.97371328,.71448338,1.2329432,1
2017,33020,1.1076907,.83787125,1.3775102,1
2017,33060,.87290913,.65464997,1.0911683,1
2017,33124,.88742757,.86049795,.91435719,1
2017,33140,.96247542,.83893031,1.0860206,1
2017,33180,1.0394679,.80499643,1.2739394,1
2017,33220,1.144925,1.0012556,1.2885944,1
2017,33260,.94900101,.85417217,1.0438299,1
2017,33300,.92684925,.72706163,1.1266369,1
2017,33340,1.0752122,1.0412477,1.1091768,1
2017,33420,.98805261,.74537498,1.2307303,1
2017,33460,.9613139,.94011402,.98251379,1
2017,33500,.86441272,.71660447,1.012221,1
2017,33540,.9625026,.81334329,1.1116619,2
2017,33580,.88440323,.60037798,1.1684284,1
2017,33620,.97462308,.70882285,1.2404233,1
2017,33660,.7812655,.71624738,.84628361,1
2017,33700,1.1049168,1.0521843,1.1576493,1
2017,33740,1.0026844,.91329241,1.0920763,1
2017,33780,1.0061337,.89959586,1.1126715,1
2017,33860,.79308188,.72472382,.86143994,1
2017,33874,.96696478,.92737788,1.0065517,1
2017,33940,1.1073651,-.12854575,2.343276,3
2017,33980,.891536,.716111,1.0669611,1
2017,34020,.95463693,.78902912,1.1202447,1
2017,34060,1.1001716,.97305828,1.2272849,1
2017,34100,1.0173007,.88434517,1.1502563,2
2017,34140,.95929307,.68558276,1.2330034,1
2017,34180,1.0540539,.91695356,1.1911542,3
