year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,02,020,race-ethnicity,Other Races and Ethnicities,0.9067675301695859,1
2021,02,020,race-ethnicity,Black,0.8893923921368394,1
2021,02,020,race-ethnicity,Hispanic,0.9064895799589677,1
2021,02,020,race-ethnicity,White,0.9325954878346258,1
2021,02,050,all,All,0.7199956789456627,1
2021,02,050,race-ethnicity,Other Races and Ethnicities,0.7083383612887655,1
2021,02,050,race-ethnicity,Black,0.9064327485380117,2
2021,02,050,race-ethnicity,Hispanic,0.8903394255874674,1
2021,02,050,race-ethnicity,White,0.8111927642736009,1
2021,02,060,all,All,0.7455830388692579,1
2021,02,060,race-ethnicity,Other Races and Ethnicities,0.7456896551724138,2
2021,02,060,race-ethnicity,Black,NA,NA
2021,02,060,race-ethnicity,Hispanic,0.8623853211009175,3
2021,02,060,race-ethnicity,White,0.7552631578947369,2
2021,02,063,all,All,0.8851033499643621,1
2021,02,063,race-ethnicity,Other Races and Ethnicities,0.8443948689347462,2
2021,02,063,race-ethnicity,Black,NA,NA
2021,02,063,race-ethnicity,Hispanic,0.7422434367541766,2
2021,02,063,race-ethnicity,White,0.900313356835096,1
2021,02,066,all,All,0.8117647058823529,1
2021,02,066,race-ethnicity,Other Races and Ethnicities,0.7566089334548769,2
2021,02,066,race-ethnicity,Black,NA,NA
2021,02,066,race-ethnicity,Hispanic,1,3
2021,02,066,race-ethnicity,White,0.850814332247557,1
2021,02,068,all,All,0.4983996342021033,3
2021,02,068,race-ethnicity,Other Races and Ethnicities,0.5714285714285714,3
2021,02,068,race-ethnicity,Black,NA,NA
2021,02,068,race-ethnicity,Hispanic,NA,NA
2021,02,068,race-ethnicity,White,0.488558352402746,3
2021,02,070,all,All,0.7089201877934272,1
2021,02,070,race-ethnicity,Other Races and Ethnicities,0.7358910891089109,1
2021,02,070,race-ethnicity,Black,NA,NA
2021,02,070,race-ethnicity,Hispanic,0.9625,1
2021,02,070,race-ethnicity,White,0.6090794451450189,3
2021,02,090,all,All,0.8757784434219601,1
2021,02,090,race-ethnicity,Other Races and Ethnicities,0.880135574588925,1
2021,02,090,race-ethnicity,Black,0.6960252935862692,1
