statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
06,05907,28000,141438,0.7163,0.9848,110522959,143617,0.001299431369730157,0.70541224,0.7055092399999999,143617,2,0
06,05908,28000,228,0.0012,0.0016,110522959,143617,0.001299431369730157,1.92e-6,0.7055092399999999,143617,2,0
06,05910,28000,143,7e-4,0.001,110522959,143617,0.001299431369730157,7e-7,0.7055092399999999,143617,2,0
06,05908,29000,203,0.0011,0.0012,110522959,171949,0.0015557762980269105,1.32e-6,0.7924470299999999,171949,1,0
06,05909,29000,867,0.0059,0.005,110522959,171949,0.0015557762980269105,2.95e-5,0.7924470299999999,171949,1,0
06,05912,29000,19390,0.1142,0.1128,110522959,171949,0.0015557762980269105,0.012881759999999999,0.7924470299999999,171949,1,0
06,05913,29000,146585,0.9133,0.8525,110522959,171949,0.0015557762980269105,0.77858825,0.7924470299999999,171949,1,0
06,05916,29000,4904,0.0332,0.0285,110522959,171949,0.0015557762980269105,9.462e-4,0.7924470299999999,171949,1,0
06,03708,30000,47,3e-4,2e-4,110522959,196543,0.0017783001991468579,6e-8,0.98185454,196543,1,0
06,03709,30000,1014,0.0091,0.0052,110522959,196543,0.0017783001991468579,4.732e-5,0.98185454,196543,1,0
06,03719,30000,194626,0.9915,0.9902,110522959,196543,0.0017783001991468579,0.9817833,0.98185454,196543,1,0
06,03720,30000,754,0.0062,0.0038,110522959,196543,0.0017783001991468579,2.3559999999999998e-5,0.98185454,196543,1,0
06,03735,30000,102,6e-4,5e-4,110522959,196543,0.0017783001991468579,3e-7,0.98185454,196543,1,0
06,03749,32548,108,0.001,0.0012,110522959,88083,7.96965633176723e-4,1.2e-6,0.71964077,88083,2,1
06,03758,32548,2637,0.0167,0.0299,110522959,88083,7.96965633176723e-4,4.9933e-4,0.71964077,88083,2,1
06,03759,32548,85338,0.7423,0.9688,110522959,88083,7.96965633176723e-4,0.71914024,0.71964077,88083,2,1
06,00106,33000,10345,0.0702,0.0635,110522959,162949,0.0014743452534599622,0.0044577,0.87213202,162949,1,0
