year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,06,36000,race-ethnicity,"Black, Non-Hispanic",0.6695158485092025,3
2018,06,36000,race-ethnicity,Hispanic,0.8657904303452244,3
2018,06,36000,race-ethnicity,Other Races and Ethnicities,0.7959097027834355,3
2018,06,36000,race-ethnicity,"White, Non-Hispanic",0.8324189577210996,3
2018,06,36000,all,All,0.8290946192906206,3
2018,06,36448,race-ethnicity,"Black, Non-Hispanic",0.3083740860506236,3
2018,06,36448,race-ethnicity,Hispanic,0.785073929112451,3
2018,06,36448,race-ethnicity,Other Races and Ethnicities,0.8071512263729825,3
2018,06,36448,race-ethnicity,"White, Non-Hispanic",0.8883710880660172,3
2018,06,36448,all,All,0.7946880911623793,3
2018,06,36546,race-ethnicity,"Black, Non-Hispanic",0.7947782624980897,1
2018,06,36546,race-ethnicity,Hispanic,0.8369292055036537,1
2018,06,36546,race-ethnicity,Other Races and Ethnicities,0.7180238894593665,1
2018,06,36546,race-ethnicity,"White, Non-Hispanic",0.7229733616440478,1
2018,06,36546,all,All,0.8065152327633198,1
2018,06,36770,race-ethnicity,"Black, Non-Hispanic",0.9897932166720749,2
2018,06,36770,race-ethnicity,Hispanic,0.8132507679961118,2
2018,06,36770,race-ethnicity,Other Races and Ethnicities,0.7565407641503324,2
2018,06,36770,race-ethnicity,"White, Non-Hispanic",0.7915923593467987,2
2018,06,36770,all,All,0.7819012476384395,2
2018,06,37692,race-ethnicity,"Black, Non-Hispanic",0.5835119344261777,3
2018,06,37692,race-ethnicity,Hispanic,0.7016958774976235,3
2018,06,37692,race-ethnicity,Other Races and Ethnicities,0.8175099430917218,3
2018,06,37692,race-ethnicity,"White, Non-Hispanic",0.789310326144787,3
2018,06,37692,all,All,0.7316441198084679,3
2018,06,39496,race-ethnicity,"Black, Non-Hispanic",0.963627709355979,3
2018,06,39496,race-ethnicity,Hispanic,0.8317586200824886,3
2018,06,39496,race-ethnicity,Other Races and Ethnicities,0.7429127952679873,3
2018,06,39496,race-ethnicity,"White, Non-Hispanic",0.8318123656188646,3
2018,06,39496,all,All,0.8044812287921467,3
2018,06,39892,race-ethnicity,"Black, Non-Hispanic",0.7210597986086165,3
2018,06,39892,race-ethnicity,Hispanic,0.7756269917507115,3
2018,06,39892,race-ethnicity,Other Races and Ethnicities,0.772542665227116,3
2018,06,39892,race-ethnicity,"White, Non-Hispanic",0.8458804037886656,3
2018,06,39892,all,All,0.7855972595237396,3
2018,06,40130,race-ethnicity,"Black, Non-Hispanic",0.5173970249463827,1
2018,06,40130,race-ethnicity,Hispanic,0.6614588996055912,1
2018,06,40130,race-ethnicity,Other Races and Ethnicities,0.633669943475049,1
2018,06,40130,race-ethnicity,"White, Non-Hispanic",0.754427980175034,1
2018,06,40130,all,All,0.6701188518789151,1
2018,06,41992,race-ethnicity,"Black, Non-Hispanic",0.7047619047619047,3
2018,06,41992,race-ethnicity,Hispanic,0.8630294328786792,3
2018,06,41992,race-ethnicity,Other Races and Ethnicities,0.7832749357626723,3
2018,06,41992,race-ethnicity,"White, Non-Hispanic",0.8312983545199352,3
2018,06,41992,all,All,0.812328753860602,3
2018,06,43000,race-ethnicity,"Black, Non-Hispanic",0.6834547685010313,2
2018,06,43000,race-ethnicity,Hispanic,0.7819992205867834,2
2018,06,43000,race-ethnicity,Other Races and Ethnicities,0.8021502090390918,2
2018,06,43000,race-ethnicity,"White, Non-Hispanic",0.8584595126419151,2
2018,06,43000,all,All,0.794669765340015,2
2018,06,44000,race-ethnicity,"Black, Non-Hispanic",0.7605659232629408,1
2018,06,44000,race-ethnicity,Hispanic,0.7786892713173016,1
2018,06,44000,race-ethnicity,Other Races and Ethnicities,0.8127534600719599,1
2018,06,44000,race-ethnicity,"White, Non-Hispanic",0.832329764309173,1
2018,06,44000,all,All,0.79748640307372,1
2018,06,45484,race-ethnicity,"Black, Non-Hispanic",0.919372762365618,3
2018,06,45484,race-ethnicity,Hispanic,0.7629517102042866,3
2018,06,45484,race-ethnicity,Other Races and Ethnicities,0.8271752155175759,3
2018,06,45484,race-ethnicity,"White, Non-Hispanic",0.7627636126441991,3
