year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,27,71428,all,All,0.8976252167306307,0.8762446505154504,0.9190057829458109,2
2018,27,71428,disability,With Disability,0.6880443388756928,0.545635879153327,0.8304527985980587,2
2018,27,71428,disability,Without Disability,0.9084724925724824,0.8876279716427027,0.9293170135022621,2
2018,28,36000,all,All,0.751557876698988,0.7341693158957611,0.7689464375022149,3
2018,28,36000,disability,With Disability,0.29466382440516964,0.23739687344842803,0.35193077536191125,3
2018,28,36000,disability,Without Disability,0.7934150259285917,0.7759274512397712,0.8109026006174122,3
2018,29,15670,all,All,0.8395810531436215,0.8228140661093233,0.8563480401779198,2
2018,29,15670,disability,With Disability,0.4255430974071478,0.3369264140077291,0.5141597808065665,2
2018,29,15670,disability,Without Disability,0.8789200346228111,0.863185145362895,0.8946549238827272,2
2018,29,35000,all,All,0.8042691975641598,0.7874100878543919,0.8211283072739277,3
2018,29,35000,disability,With Disability,0.3763114031799926,0.3101531855068101,0.44246962085317515,3
2018,29,35000,disability,Without Disability,0.859527825441572,0.8416725940985638,0.8773830567845803,3
2018,29,38000,all,All,0.8097080270892675,0.7999513879584608,0.8194646662200742,1
2018,29,38000,disability,With Disability,0.4590078143325252,0.4219282178559692,0.4960874108090812,1
2018,29,38000,disability,Without Disability,0.8467810986463307,0.8371040086032239,0.8564581886894375,1
2018,29,41348,all,All,0.8557306436410578,0.8345147436620999,0.8769465436200157,1
2018,29,41348,disability,With Disability,0.48395000917617986,0.3785902841605474,0.5893097341918123,1
2018,29,41348,disability,Without Disability,0.8792448725640933,0.8596512745722301,0.8988384705559566,1
2018,29,54074,all,All,0.8722708809564529,0.8608489393890498,0.883692822523856,2
2018,29,54074,disability,With Disability,0.5322318501827901,0.45502320318183265,0.6094404971837475,2
2018,29,54074,disability,Without Disability,0.89319692868451,0.8812143243543464,0.9051795330146735,2
2018,29,65000,all,All,0.7825814262168351,0.7711567625385602,0.79400608989511,3
2018,29,65000,disability,With Disability,0.364492599674244,0.31549299534855096,0.4134922039999371,3
2018,29,65000,disability,Without Disability,0.8305812336886266,0.8186887857953817,0.8424736815818714,3
2018,29,70000,all,All,0.7685518223777722,0.7476206533330669,0.7894829914224775,3
2018,29,70000,disability,With Disability,0.3050691691770433,0.24804463526166942,0.3620937030924172,3
2018,29,70000,disability,Without Disability,0.8367773533704533,0.8199759428872513,0.8535787638536554,3
2018,30,06550,all,All,0.8437724952404009,0.8182855613997853,0.8692594290810165,1
2018,30,06550,disability,With Disability,0.44774483482408073,0.33410673459947393,0.5613829350486875,1
2018,30,06550,disability,Without Disability,0.8799230621988376,0.8566581949883864,0.9031879294092889,1
2018,31,28000,all,All,0.8737630726183151,0.859260688860219,0.8882654563764112,3
2018,31,28000,disability,With Disability,0.6072861480578162,0.52125757054152555,0.6933147255741069,3
2018,31,28000,disability,Without Disability,0.8952484885714289,0.8824546503669916,0.9080423267758663,3
2018,31,37000,all,All,0.822499135536693,0.8110518854088137,0.8339463856645722,3
2018,31,37000,disability,With Disability,0.46955246276298973,0.42118982952183665,0.5179150960041428,3
2018,31,37000,disability,Without Disability,0.856214015376054,0.8449087662457266,0.8675192645063814,3
2018,32,31900,all,All,0.7999681990534253,0.7873903689257084,0.8125460291811423,1
2018,32,31900,disability,With Disability,0.5092437370294173,0.4528529197166867,0.5656345543421478,1
2018,32,31900,disability,Without Disability,0.8217738447389689,0.8096178298575563,0.8339298596203815,1
2018,32,40000,all,All,0.7620912086973721,0.7535605515265391,0.7706218658682051,2
2018,32,40000,disability,With Disability,0.44728221602056895,0.4083148011502621,0.4862496308908758,2
2018,32,40000,disability,Without Disability,0.7947321730372092,0.7869504281914731,0.8025139178829453,2
2018,32,51800,all,All,0.7539600531321645,0.7394343682097269,0.7684857380546022,1
2018,32,51800,disability,With Disability,0.37025071084199973,0.32505136039982124,0.4154500612841782,1
2018,32,51800,disability,Without Disability,0.7854407279371509,0.7702405518167283,0.8006409040575735,1
2018,32,60600,all,All,0.8104537076078949,0.7976659619801277,0.8232414532356621,1
2018,32,60600,disability,With Disability,0.5669702812308632,0.5079471462219604,0.6259934162397661,1
2018,32,60600,disability,Without Disability,0.8360621690529212,0.8233434871155072,0.8487808509903352,1
2018,32,68400,all,All,0.8106121973682101,0.7917607902028677,0.8294636045335525,2
2018,32,68400,disability,With Disability,0.599181505393599,0.5391320951444805,0.6592309156427176,2
2018,32,68400,disability,Without Disability,0.8289290737289106,0.8083982391217596,0.8494599083360616,2
2018,33,45140,all,All,0.8136856228712973,0.7914538367759851,0.8359174089666095,1
2018,33,45140,disability,With Disability,0.39592316738533906,0.31090260905410916,0.48094372571656896,1
2018,33,45140,disability,Without Disability,0.862861361696237,0.842766445679115,0.8829562777133589,1
2018,33,50260,all,All,0.848405776379754,0.8293449810173152,0.8674665717421928,2
2018,33,50260,disability,With Disability,0.4903649965994106,0.39415225982216606,0.5865777333766551,2
2018,33,50260,disability,Without Disability,0.8790477483944821,0.8623601427100441,0.89573535407892,2
2018,34,13690,all,All,0.7729532021991188,0.752412569012528,0.7934938353857096,2
2018,34,13690,disability,With Disability,0.44176641170197944,0.34406099713761207,0.5394718262663468,2
2018,34,13690,disability,Without Disability,0.7911790949840599,0.7704038299289628,0.811954360039157,2
2018,34,21000,all,All,0.8041821272551134,0.7869911322013865,0.8213731223088403,3
2018,34,21000,disability,With Disability,0.36256218905472637,0.27299428573128015,0.4521300923781726,3
2018,34,21000,disability,Without Disability,0.8317635406754316,0.8146378273425939,0.8488892540082692,3
2018,34,36000,all,All,0.7880859316695021,0.7760508761060779,0.8001209872329264,3
2018,34,36000,disability,With Disability,0.3734470754229797,0.31417560117277366,0.4327185496731858,3
2018,34,36000,disability,Without Disability,0.8141261613382844,0.8034350743418626,0.8248172483347063,3
