year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,051,Alabama,Elmore County,TRUE,All,all,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,TRUE,White neighborhoods,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,TRUE,White neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,25,Strong,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,TRUE,All,all,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,TRUE,White neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,TRUE,All,all,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,TRUE,White neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,All,all,NA,NA,37,Strong,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,White neighborhoods,race-ethnicity,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,41,Strong,NA,NA,NA,NA
2014,01,061,Alabama,Geneva County,TRUE,All,all,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,061,Alabama,Geneva County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,061,Alabama,Geneva County,TRUE,White neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,061,Alabama,Geneva County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,All,all,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,White neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,TRUE,White neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,069,Alabama,Houston County,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,069,Alabama,Houston County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,069,Alabama,Houston County,TRUE,White neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,069,Alabama,Houston County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,071,Alabama,Jackson County,TRUE,All,all,NA,NA,49,Strong,NA,NA,NA,NA
2014,01,071,Alabama,Jackson County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,071,Alabama,Jackson County,TRUE,White neighborhoods,race-ethnicity,NA,NA,49,Strong,NA,NA,NA,NA
2014,01,071,Alabama,Jackson County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,073,Alabama,Jefferson County,TRUE,All,all,NA,NA,9,Strong,NA,NA,NA,NA
2014,01,073,Alabama,Jefferson County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,073,Alabama,Jefferson County,TRUE,White neighborhoods,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,01,073,Alabama,Jefferson County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,TRUE,All,all,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,TRUE,White neighborhoods,race-ethnicity,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,TRUE,All,all,NA,NA,36,Strong,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,TRUE,White neighborhoods,race-ethnicity,NA,NA,36,Strong,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
