state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
06,16000,race-ethnicity,"White, Non-Hispanic",1.0239584,0.91162801,1.1362889,1,0,1
06,16350,all,All,1.0333523,0.89868432,1.1680201,1,0,1
06,16350,race-ethnicity,"Black, Non-Hispanic",0.73948061,0.26220629,1.2167549,1,NA,NA
06,16350,race-ethnicity,Hispanic,1.0477685,0.93830973,1.1572273,1,0,1
06,16350,race-ethnicity,"White, Non-Hispanic",0.9528392,0.68567413,1.2200043,1,0,2
06,16532,all,All,0.97657305,0.85066497,1.1024811,1,0,1
06,16532,race-ethnicity,"Black, Non-Hispanic",1.7742133,0.45917189,3.0892549,3,NA,NA
06,16532,race-ethnicity,Hispanic,1.0507092,0.90912169,1.1922967,1,0,1
06,16532,race-ethnicity,"White, Non-Hispanic",0.90063441,0.78296828,1.0183005,1,0,1
06,17918,all,All,1.1489615,0.9144578,1.3834652,1,0,1
06,17918,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,17918,race-ethnicity,Hispanic,1.196578,0.61229289,1.780863,1,0,2
06,17918,race-ethnicity,"White, Non-Hispanic",1.2726548,-0.16169336,2.7070029,3,0,2
06,19766,all,All,1.0323514,0.90236026,1.1623424,1,0,1
06,19766,race-ethnicity,"Black, Non-Hispanic",1.0955285,0.61664033,1.5744166,2,NA,NA
06,19766,race-ethnicity,Hispanic,1.0318431,0.93190998,1.1317761,1,0,1
06,19766,race-ethnicity,"White, Non-Hispanic",1.1326362,0.74709582,1.5181766,1,0,2
06,21712,all,All,1.1160067,0.95878863,1.2732247,2,0.1311514174336026,1
06,21712,race-ethnicity,"Black, Non-Hispanic",0.75839084,0.2315744,1.2852073,3,NA,NA
06,21712,race-ethnicity,Hispanic,1.1790497,1.0280986,1.3300009,2,0.09558500643676514,2
06,21712,race-ethnicity,"White, Non-Hispanic",1.0461781000000001,0.9279474,1.1644088,3,0.16305003945048577,1
06,22020,all,All,1.1217085,1.0473984,1.1960186,1,0,1
06,22020,race-ethnicity,"Black, Non-Hispanic",1.0182745,0.88750339,1.1490457,1,NA,NA
06,22020,race-ethnicity,Hispanic,1.0940404,0.99175143,1.1963294,1,0,2
06,22020,race-ethnicity,"White, Non-Hispanic",1.1077288,1.0032442,1.2122135,1,0,2
06,22230,all,All,1.3086005,1.1342753,1.4829258,1,0,1
06,22230,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,22230,race-ethnicity,Hispanic,1.3059771,1.1695002,1.4424539,1,0,1
06,22230,race-ethnicity,"White, Non-Hispanic",1.7075022,0.47376442,2.9412401,3,0,3
06,22804,all,All,1.2763628,1.1500866,1.402639,1,0,1
06,22804,race-ethnicity,"Black, Non-Hispanic",1.0375615,0.29153571,1.7835873,3,NA,NA
06,22804,race-ethnicity,Hispanic,1.3217846,1.2135007,1.4300685,1,0,1
06,22804,race-ethnicity,"White, Non-Hispanic",1.1613353,0.95386374,1.368807,3,0,1
06,23182,all,All,1.0300581,0.88107246,1.1790439,1,0,1
06,23182,race-ethnicity,"Black, Non-Hispanic",0.90676445,0.67664123,1.1368876,1,NA,NA
06,23182,race-ethnicity,Hispanic,1.0620723,0.89514679,1.2289977,1,0,2
06,23182,race-ethnicity,"White, Non-Hispanic",1.0164474,0.80068773,1.2322071000000001,1,0,2
06,24638,all,All,NA,NA,NA,NA,0,1
06,24638,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,24638,race-ethnicity,Hispanic,NA,NA,NA,NA,0,3
06,24638,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,24680,all,All,1.0876005,0.99227852,1.1829224,1,0,1
06,24680,race-ethnicity,"Black, Non-Hispanic",0.79206914,0.45480454,1.1293337,2,NA,NA
06,24680,race-ethnicity,Hispanic,1.0992377,1.0253187,1.1731566,1,0,1
06,24680,race-ethnicity,"White, Non-Hispanic",0.9647963,0.66748846,1.2621042,1,0,2
06,26000,all,All,1.0827476,0.98263133,1.1828638,1,0,1
06,26000,race-ethnicity,"Black, Non-Hispanic",0.89692199,0.49384797,1.299996,1,NA,NA
06,26000,race-ethnicity,Hispanic,1.0573016,0.84573907,1.2688643,1,0,3
06,26000,race-ethnicity,"White, Non-Hispanic",1.0813011,0.90992314,1.2526791,1,0,1
06,27000,all,All,1.0538182,0.94844836,1.159188,1,0.27438888481459583,1
06,27000,race-ethnicity,"Black, Non-Hispanic",0.96966642,0.77045012,1.1688828,2,NA,NA
06,27000,race-ethnicity,Hispanic,1.0744176,0.97971457,1.1691207,1,0.29113013286633177,1
06,27000,race-ethnicity,"White, Non-Hispanic",0.89880514,0.72806704,1.0695432,2,0.1987877830857332,1
06,28000,all,All,1.13957,1.0072265,1.2719135,1,0,1
06,28000,race-ethnicity,"Black, Non-Hispanic",1.3393923,0.62071317,2.0580714,3,NA,NA
06,28000,race-ethnicity,Hispanic,1.121225,0.987239,1.255211,1,0,2
06,28000,race-ethnicity,"White, Non-Hispanic",1.1832844,0.97573322,1.3908356,2,0,1
06,29000,all,All,1.3665123,1.2776824,1.4553422,1,0,1
06,29000,race-ethnicity,"Black, Non-Hispanic",1.1278892,0.46660107,1.7891773,3,NA,NA
06,29000,race-ethnicity,Hispanic,1.3662318,1.2777499,1.4547137,1,0,1
06,29000,race-ethnicity,"White, Non-Hispanic",1.1636989,0.96584356,1.3615543,1,0,1
06,30000,all,All,1.0545855,0.9357785,1.1733924,1,0,1
06,30000,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,30000,race-ethnicity,Hispanic,1.0976219,0.91564208,1.2796018,1,0,2
06,30000,race-ethnicity,"White, Non-Hispanic",1.0049111,0.90157133,1.1082509,1,0,1
06,32548,all,All,1.1653476,0.97333813,1.357357,1,0.04851758746037975,1
06,32548,race-ethnicity,"Black, Non-Hispanic",0.95993406,0.67225671,1.2476114,1,NA,NA
06,32548,race-ethnicity,Hispanic,1.228948,1.0656065,1.3922895,1,0.06184736217552384,1
06,32548,race-ethnicity,"White, Non-Hispanic",1.0234616,0.53634381,1.5105793,1,0.01076087389296015,2
06,33000,all,All,1.3102049,1.1851816,1.4352281,1,0,1
06,33000,race-ethnicity,"Black, Non-Hispanic",1.2034985,0.9501971,1.4567999,1,NA,NA
06,33000,race-ethnicity,Hispanic,1.355116,1.2409424,1.4692897,1,0,1
06,33000,race-ethnicity,"White, Non-Hispanic",1.2883747,0.94467461,1.6320747,1,0,2
06,33182,all,All,0.99049455,0.86434412,1.116645,1,0,1
06,33182,race-ethnicity,"Black, Non-Hispanic",0.88435775,0.56047016,1.2082453,3,NA,NA
06,33182,race-ethnicity,Hispanic,1.0303526,0.90924424,1.151461,1,0,1
06,33182,race-ethnicity,"White, Non-Hispanic",0.95313418,0.79632831,1.1099401,1,0,1
06,33434,all,All,0.95762277,0.83313048,1.0821151,1,0.05032559736592886,1
06,33434,race-ethnicity,"Black, Non-Hispanic",1.0273035,0.64479625,1.4098107,2,NA,NA
06,33434,race-ethnicity,Hispanic,1.0122223,0.89807874,1.1263659,1,0.0286573495298426,1
06,33434,race-ethnicity,"White, Non-Hispanic",0.83893013,0.67856598,0.99929428,1,0.05543498365137273,2
06,36000,all,All,1.0865322,0.91300297,1.2600616,1,0,1
06,36000,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,36000,race-ethnicity,Hispanic,1.1831363,0.95083714,1.4154354,1,0,2
06,36000,race-ethnicity,"White, Non-Hispanic",1.0304208,0.87007391,1.1907676,1,0,1
06,36448,all,All,NA,NA,NA,NA,0,2
