year,state,county,adults,children,wage
2021,01,077,1 Adult,1 Child,29.75
2021,01,077,1 Adult,2 Children,37.17
2021,01,077,1 Adult,3 Children,48.33
2021,01,077,2 Adults (1 Working),0 Children,24.09
2021,01,077,2 Adults (1 Working),1 Child,29.07
2021,01,077,2 Adults (1 Working),2 Children,34.49
2021,01,077,2 Adults (1 Working),3 Children,36.95
2021,01,077,2 Adults (Both Working),0 Children,12.04
2021,01,077,2 Adults (Both Working),1 Child,16.59
2021,01,077,2 Adults (Both Working),2 Children,21.36
2021,01,077,2 Adults (Both Working),3 Children,24.64
2021,01,079,1 Adult,0 Children,15.03
2021,01,079,1 Adult,1 Child,29.44
2021,01,079,1 Adult,2 Children,36.86
2021,01,079,1 Adult,3 Children,48.19
2021,01,079,2 Adults (1 Working),0 Children,24.04
2021,01,079,2 Adults (1 Working),1 Child,28.76
2021,01,079,2 Adults (1 Working),2 Children,34.19
2021,01,079,2 Adults (1 Working),3 Children,36.81
2021,01,079,2 Adults (Both Working),0 Children,12.02
2021,01,079,2 Adults (Both Working),1 Child,16.44
2021,01,079,2 Adults (Both Working),2 Children,21.21
2021,01,079,2 Adults (Both Working),3 Children,24.58
2021,01,081,1 Adult,0 Children,15.65
2021,01,081,1 Adult,1 Child,30.26
2021,01,081,1 Adult,2 Children,37.61
2021,01,081,1 Adult,3 Children,49.16
2021,01,081,2 Adults (1 Working),0 Children,24.44
2021,01,081,2 Adults (1 Working),1 Child,29.66
2021,01,081,2 Adults (1 Working),2 Children,35.08
2021,01,081,2 Adults (1 Working),3 Children,37.99
2021,01,081,2 Adults (Both Working),0 Children,12.22
2021,01,081,2 Adults (Both Working),1 Child,16.85
2021,01,081,2 Adults (Both Working),2 Children,21.58
2021,01,081,2 Adults (Both Working),3 Children,25.06
2021,01,083,1 Adult,0 Children,15.64
2021,01,083,1 Adult,1 Child,30.31
2021,01,083,1 Adult,2 Children,37.73
2021,01,083,1 Adult,3 Children,49.45
2021,01,083,2 Adults (1 Working),0 Children,24.94
2021,01,083,2 Adults (1 Working),1 Child,29.64
2021,01,083,2 Adults (1 Working),2 Children,35.06
2021,01,083,2 Adults (1 Working),3 Children,38.07
2021,01,083,2 Adults (Both Working),0 Children,12.47
