year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,17,073,0.5858352578906852,0.5086381691277561,0.6630323466536144,3
2018,17,075,0.44140290846877667,0.3531108089817124,0.529695007955841,3
2018,17,077,0.5223555070883318,0.44494790387977845,0.5997631102968851,3
2018,17,079,NA,NA,NA,NA
2018,17,081,0.5194201312910287,0.44226452774153224,0.5965757348405252,3
2018,17,083,0.6745001753770613,0.5960329905437937,0.752967360210329,3
2018,17,085,0.4956076134699851,0.4020255706804931,0.5891896562594772,3
2018,17,087,NA,NA,NA,NA
2018,17,089,0.5334901743703294,0.47793407067063687,0.589046278070022,1
2018,17,091,0.5194761584956347,0.4208285442560036,0.6181237727352658,1
2018,17,093,0.6266022273586886,0.5325349104851683,0.720669544232209,2
2018,17,095,0.5080264400377716,0.43120929538428,0.5848435846912633,2
2018,17,097,0.49742036787797217,0.45307794223013786,0.5417627935258065,1
2018,17,099,0.5749414519906323,0.4468881028064844,0.7029948011747802,1
2018,17,101,NA,NA,NA,NA
2018,17,103,0.4956076134699855,0.4020255706804935,0.5891896562594775,3
2018,17,105,0.44140290846877706,0.3531108089817122,0.5296950079558419,3
2018,17,107,0.5344271901552881,0.4472967480499984,0.6215576322605777,3
2018,17,109,0.5858352578906849,0.5086381691277558,0.663032346653614,3
2018,17,111,0.5705100728675525,0.49970625995131945,0.6413138857837856,1
2018,17,113,0.48396840148698883,0.39269564022968934,0.5752411627442883,1
2018,17,115,0.5286294791281861,0.42571220809383736,0.6315467501625349,1
2018,17,117,0.6745001753770615,0.5960329905437937,0.7529673602103294,3
2018,17,119,0.48632121017058255,0.4098573877709242,0.5627850325702409,1
2018,17,121,0.5194201312910288,0.44226452774153213,0.5965757348405255,3
2018,17,123,NA,NA,NA,NA
2018,17,125,NA,NA,NA,NA
2018,17,127,NA,NA,NA,NA
2018,17,129,NA,NA,NA,NA
2018,17,131,NA,NA,NA,NA
2018,17,133,0.5194201312910275,0.4422645277415311,0.596575734840524,3
2018,17,135,0.561453306840761,0.48443511441804654,0.6384714992634755,3
2018,17,137,0.6745001753770611,0.5960329905437934,0.7529673602103287,3
2018,17,139,NA,NA,NA,NA
2018,17,141,0.6252455795677807,0.5276924930872409,0.7227986660483205,2
2018,17,143,0.5589369909987141,0.471065099873228,0.6468088821242002,1
2018,17,145,NA,NA,NA,NA
