year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,05,007,income,"Less than $50,000",0.20909090909090908,0.111692087414319,0.30648973076749914,1
2014,05,009,all,All,0.4348860931655899,0.32967933124444676,0.540092855086733,3
2014,05,009,income,"$50,000 or More",NA,NA,NA,NA
2014,05,009,income,"Less than $50,000",NA,NA,NA,NA
2014,05,011,all,All,NA,NA,NA,NA
2014,05,011,income,"$50,000 or More",NA,NA,NA,NA
2014,05,011,income,"Less than $50,000",NA,NA,NA,NA
2014,05,013,all,All,NA,NA,NA,NA
2014,05,013,income,"$50,000 or More",NA,NA,NA,NA
2014,05,013,income,"Less than $50,000",NA,NA,NA,NA
2014,05,015,all,All,NA,NA,NA,NA
2014,05,015,income,"$50,000 or More",NA,NA,NA,NA
2014,05,015,income,"Less than $50,000",NA,NA,NA,NA
2014,05,017,all,All,NA,NA,NA,NA
2014,05,017,income,"$50,000 or More",NA,NA,NA,NA
2014,05,017,income,"Less than $50,000",NA,NA,NA,NA
2014,05,019,all,All,NA,NA,NA,NA
2014,05,019,income,"$50,000 or More",NA,NA,NA,NA
2014,05,019,income,"Less than $50,000",NA,NA,NA,NA
2014,05,021,all,All,NA,NA,NA,NA
2014,05,021,income,"$50,000 or More",NA,NA,NA,NA
2014,05,021,income,"Less than $50,000",NA,NA,NA,NA
2014,05,023,all,All,NA,NA,NA,NA
2014,05,023,income,"$50,000 or More",NA,NA,NA,NA
2014,05,023,income,"Less than $50,000",NA,NA,NA,NA
2014,05,025,all,All,NA,NA,NA,NA
2014,05,025,income,"$50,000 or More",NA,NA,NA,NA
2014,05,025,income,"Less than $50,000",NA,NA,NA,NA
2014,05,027,all,All,0.6138983050847457,0.5106613562278529,0.7171352539416386,3
2014,05,027,income,"$50,000 or More",NA,NA,NA,NA
2014,05,027,income,"Less than $50,000",NA,NA,NA,NA
2014,05,029,all,All,NA,NA,NA,NA
2014,05,029,income,"$50,000 or More",NA,NA,NA,NA
2014,05,029,income,"Less than $50,000",NA,NA,NA,NA
2014,05,031,all,All,0.4934139805442791,0.4250296033114576,0.5617983577771006,2
2014,05,031,income,"$50,000 or More",0.5090592703037972,0.3727900650904341,0.6453284755171602,2
2014,05,031,income,"Less than $50,000",0.4832359259587661,0.3944231268683554,0.5720487250491768,2
2014,05,033,all,All,0.49385805277525024,0.3924920815515543,0.5952240239989461,3
