year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,02,164,gender,Female,NA,NA,NA,NA
2014,02,164,gender,Male,NA,NA,NA,NA
2014,02,170,all,All,0.7567567567567567,0.670806891945994,0.8427066215675194,2
2014,02,170,gender,Female,0.804186046511628,0.7137202227594116,0.8946518702638443,2
2014,02,170,gender,Male,0.7167516673205179,0.5838739566479061,0.8496293779931297,2
2014,02,180,all,All,0.7056551724137932,0.6409559728847799,0.7703543719428064,3
2014,02,180,gender,Female,NA,NA,NA,NA
2014,02,180,gender,Male,NA,NA,NA,NA
2014,02,185,all,All,0.705655172413793,0.6409559728847798,0.7703543719428063,3
2014,02,185,gender,Female,NA,NA,NA,NA
2014,02,185,gender,Male,NA,NA,NA,NA
2014,02,188,all,All,NA,NA,NA,NA
2014,02,188,gender,Female,NA,NA,NA,NA
2014,02,188,gender,Male,NA,NA,NA,NA
2014,02,195,all,All,NA,NA,NA,NA
2014,02,195,gender,Female,NA,NA,NA,NA
2014,02,195,gender,Male,NA,NA,NA,NA
2014,02,198,all,All,NA,NA,NA,NA
2014,02,198,gender,Female,NA,NA,NA,NA
2014,02,198,gender,Male,NA,NA,NA,NA
2014,02,220,all,All,0.705655172413793,0.6409559728847798,0.7703543719428063,3
2014,02,220,gender,Female,NA,NA,NA,NA
2014,02,220,gender,Male,NA,NA,NA,NA
2014,02,230,all,All,NA,NA,NA,NA
2014,02,230,gender,Female,NA,NA,NA,NA
2014,02,230,gender,Male,NA,NA,NA,NA
2014,02,240,all,All,NA,NA,NA,NA
2014,02,240,gender,Female,NA,NA,NA,NA
2014,02,240,gender,Male,NA,NA,NA,NA
2014,02,275,all,All,NA,NA,NA,NA
2014,02,275,gender,Female,NA,NA,NA,NA
2014,02,275,gender,Male,NA,NA,NA,NA
2014,02,282,all,All,NA,NA,NA,NA
2014,02,282,gender,Female,NA,NA,NA,NA
2014,02,282,gender,Male,NA,NA,NA,NA
2014,02,290,all,All,NA,NA,NA,NA
2014,02,290,gender,Female,NA,NA,NA,NA
2014,02,290,gender,Male,NA,NA,NA,NA
2014,04,001,all,All,0.7680329335958476,0.7267006799971996,0.8093651871944956,2
2014,04,001,gender,Female,0.8147646461225871,0.7582675581815639,0.8712617340636104,2
2014,04,001,gender,Male,0.7156416097190584,0.6407902630260369,0.79049295641208,2
2014,04,003,all,All,0.8764992503748127,0.8299755217554411,0.9230229789941844,2
2014,04,003,gender,Female,0.8642193719593101,0.7894443413044785,0.9389944026141416,2
2014,04,003,gender,Male,0.8855284552845529,0.8285210003159581,0.9425359102531478,2
2014,04,005,all,All,0.935063450325826,0.9056102410395254,0.9645166596121268,1
2014,04,005,gender,Female,0.9518339379282548,0.9161795998091562,0.9874882760473532,1
2014,04,005,gender,Male,0.9130779392338176,0.8705806804992458,0.9555751979683896,1
2014,04,007,all,All,0.7878893335653383,0.725282742691488,0.8504959244391886,2
2014,04,007,gender,Female,0.8958333333333331,0.8342487190616303,0.957417947605036,2
2014,04,007,gender,Male,0.6961699388477631,0.6119906477204629,0.7803492299750634,2
2014,04,009,all,All,0.7878893335653385,0.7252827426914881,0.850495924439189,3
2014,04,009,gender,Female,0.8958333333333333,0.8342487190616303,0.9574179476050362,3
2014,04,009,gender,Male,0.696169938847763,0.6119906477204627,0.7803492299750633,3
2014,04,011,all,All,NA,NA,NA,NA
2014,04,011,gender,Female,NA,NA,NA,NA
2014,04,011,gender,Male,NA,NA,NA,NA
2014,04,012,all,All,NA,NA,NA,NA
2014,04,012,gender,Female,NA,NA,NA,NA
2014,04,012,gender,Male,NA,NA,NA,NA
2014,04,013,all,All,0.8508298887702682,0.8384641059562065,0.86319567158433,1
2014,04,013,gender,Female,0.8804403048264183,0.8610378277266375,0.8998427819261992,1
2014,04,013,gender,Male,0.8229520975056689,0.8062038505741798,0.839700344437158,1
2014,04,015,all,All,0.672437482824952,0.585595004562449,0.759279961087455,1
2014,04,015,gender,Female,0.6480162767039674,0.5249331290014707,0.7710994244064642,1
2014,04,015,gender,Male,0.7011356843992828,0.5656384274061736,0.8366329413923919,1
2014,04,017,all,All,0.7680329335958475,0.7267006799971993,0.8093651871944956,2
2014,04,017,gender,Female,0.8147646461225871,0.7582675581815639,0.8712617340636104,2
2014,04,017,gender,Male,0.7156416097190585,0.6407902630260371,0.79049295641208,2
2014,04,019,all,All,0.8873158873158873,0.8681395370310112,0.9064922376007634,1
2014,04,019,gender,Female,0.9111172873818788,0.8864923947284485,0.9357421800353092,1
2014,04,019,gender,Male,0.8620913107511046,0.8347830354008026,0.8893995861014066,1
2014,04,021,all,All,0.7134502787339203,0.6403509318812752,0.7865496255865654,1
2014,04,021,gender,Female,0.8104539565208871,0.7207981588023976,0.9001097542393767,1
2014,04,021,gender,Male,0.620543837404147,0.5122884136697349,0.7287992611385591,1
2014,04,023,all,All,0.8764992503748127,0.829975521755441,0.9230229789941844,3
2014,04,023,gender,Female,0.8642193719593099,0.7894443413044782,0.9389944026141416,3
2014,04,023,gender,Male,0.8855284552845529,0.8285210003159581,0.9425359102531478,3
2014,04,025,all,All,0.8646510313647923,0.7816566370161325,0.947645425713452,1
2014,04,025,gender,Female,0.8777943368107303,0.757039007130522,0.9985496664909386,1
2014,04,025,gender,Male,0.8566226672735548,0.7504710059451439,0.9627743286019658,1
