state_name,place_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
Connecticut,Norwalk city,16,8,2,1,27,0.5925925925925926,0.07407407407407407,0.037037037037037035,32,8,-2,-2,36
Connecticut,Stamford city,15,10,1,1,27,0.5555555555555556,0.037037037037037035,0.037037037037037035,30,10,-1,-2,37
Connecticut,Waterbury city,19,1,6,1,27,0.7037037037037037,0.2222222222222222,0.037037037037037035,38,1,-6,-2,31
District of Columbia,Washington city,25,2,0,0,27,0.9259259259259259,0,0,50,2,-0,-0,52
Florida,Boca Raton city,21,2,1,3,27,0.7777777777777778,0.037037037037037035,0.1111111111111111,42,2,-1,-6,37
Florida,Boynton Beach city,11,7,5,4,27,0.4074074074074074,0.18518518518518517,0.14814814814814814,22,7,-5,-8,16
Florida,Cape Coral city,16,5,1,5,27,0.5925925925925926,0.037037037037037035,0.18518518518518517,32,5,-1,-10,26
Florida,Clearwater city,10,10,2,5,27,0.37037037037037035,0.07407407407407407,0.18518518518518517,20,10,-2,-10,18
Florida,Coral Springs city,16,1,5,5,27,0.5925925925925926,0.18518518518518517,0.18518518518518517,32,1,-5,-10,18
Florida,Davie town,11,10,1,5,27,0.4074074074074074,0.037037037037037035,0.18518518518518517,22,10,-1,-10,21
Florida,Deerfield Beach city,14,3,5,5,27,0.5185185185185185,0.18518518518518517,0.18518518518518517,28,3,-5,-10,16
Florida,Deltona city,11,4,7,5,27,0.4074074074074074,0.25925925925925924,0.18518518518518517,22,4,-7,-10,9
Florida,Doral city,10,6,6,5,27,0.37037037037037035,0.2222222222222222,0.18518518518518517,20,6,-6,-10,10
Florida,Fort Lauderdale city,19,4,1,3,27,0.7037037037037037,0.037037037037037035,0.1111111111111111,38,4,-1,-6,35
Florida,Fort Myers city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
Florida,Gainesville city,18,6,0,3,27,0.6666666666666666,0,0.1111111111111111,36,6,-0,-6,36
Florida,Hialeah city,17,4,2,4,27,0.6296296296296297,0.07407407407407407,0.14814814814814814,34,4,-2,-8,28
Florida,Hollywood city,12,10,3,2,27,0.4444444444444444,0.1111111111111111,0.07407407407407407,24,10,-3,-4,27
Florida,Homestead city,10,7,5,5,27,0.37037037037037035,0.18518518518518517,0.18518518518518517,20,7,-5,-10,12
Florida,Jacksonville city,25,0,0,2,27,0.9259259259259259,0,0.07407407407407407,50,0,-0,-4,46
Florida,Kissimmee city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
Florida,Lakeland city,10,7,5,5,27,0.37037037037037035,0.18518518518518517,0.18518518518518517,20,7,-5,-10,12
Florida,Largo city,12,10,2,3,27,0.4444444444444444,0.07407407407407407,0.1111111111111111,24,10,-2,-6,26
Florida,Melbourne city,11,6,5,5,27,0.4074074074074074,0.18518518518518517,0.18518518518518517,22,6,-5,-10,13
Florida,Miami Beach city,10,9,3,5,27,0.37037037037037035,0.1111111111111111,0.18518518518518517,20,9,-3,-10,16
Florida,Miami city,24,1,2,0,27,0.8888888888888888,0.07407407407407407,0,48,1,-2,-0,47
Florida,Miami Gardens city,12,9,1,5,27,0.4444444444444444,0.037037037037037035,0.18518518518518517,24,9,-1,-10,22
Florida,Miramar city,11,10,1,5,27,0.4074074074074074,0.037037037037037035,0.18518518518518517,22,10,-1,-10,21
Florida,North Port city,10,6,6,5,27,0.37037037037037035,0.2222222222222222,0.18518518518518517,20,6,-6,-10,10
Florida,Orlando city,13,10,2,2,27,0.48148148148148145,0.07407407407407407,0.07407407407407407,26,10,-2,-4,30
Florida,Palm Bay city,16,5,1,5,27,0.5925925925925926,0.037037037037037035,0.18518518518518517,32,5,-1,-10,26
Florida,Palm Coast city,10,5,7,5,27,0.37037037037037035,0.25925925925925924,0.18518518518518517,20,5,-7,-10,8
Florida,Pembroke Pines city,11,6,5,5,27,0.4074074074074074,0.18518518518518517,0.18518518518518517,22,6,-5,-10,13
Florida,Plantation city,11,10,1,5,27,0.4074074074074074,0.037037037037037035,0.18518518518518517,22,10,-1,-10,21
Florida,Pompano Beach city,12,9,1,5,27,0.4444444444444444,0.037037037037037035,0.18518518518518517,24,9,-1,-10,22
Florida,Port St. Lucie city,21,1,1,4,27,0.7777777777777778,0.037037037037037035,0.14814814814814814,42,1,-1,-8,34
Florida,St. Petersburg city,22,1,0,4,27,0.8148148148148148,0,0.14814814814814814,44,1,-0,-8,37
Florida,Sunrise city,11,10,1,5,27,0.4074074074074074,0.037037037037037035,0.18518518518518517,22,10,-1,-10,21
Florida,Tallahassee city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
Florida,Tampa city,24,1,0,2,27,0.8888888888888888,0,0.07407407407407407,48,1,-0,-4,45
Florida,West Palm Beach city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
Georgia,Athens-Clarke County unified government (balance),19,1,4,3,27,0.7037037037037037,0.14814814814814814,0.1111111111111111,38,1,-4,-6,29
Georgia,Atlanta city,24,3,0,0,27,0.8888888888888888,0,0,48,3,-0,-0,51
Georgia,Augusta-Richmond County consolidated government (balance),22,2,2,1,27,0.8148148148148148,0.07407407407407407,0.037037037037037035,44,2,-2,-2,42
Georgia,Columbus city,19,5,2,1,27,0.7037037037037037,0.07407407407407407,0.037037037037037035,38,5,-2,-2,39
Georgia,Johns Creek city,12,11,1,3,27,0.4444444444444444,0.037037037037037035,0.1111111111111111,24,11,-1,-6,28
Georgia,Macon-Bibb County,21,1,3,3,28,0.75,0.10714285714285714,0.10714285714285714,42,1,-3,-6,34
Georgia,Roswell city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
Georgia,Sandy Springs city,22,1,1,3,27,0.8148148148148148,0.037037037037037035,0.1111111111111111,44,1,-1,-6,38
Georgia,Savannah city,13,8,4,2,27,0.48148148148148145,0.14814814814814814,0.07407407407407407,26,8,-4,-4,26
Georgia,South Fulton city,4,9,5,10,28,0.14285714285714285,0.17857142857142858,0.35714285714285715,8,9,-5,-20,-8
Georgia,Warner Robins city,12,6,6,3,27,0.4444444444444444,0.2222222222222222,0.1111111111111111,24,6,-6,-6,18
Hawaii,Urban Honolulu CDP,15,4,1,7,27,0.5555555555555556,0.037037037037037035,0.25925925925925924,30,4,-1,-14,19
Idaho,Boise City city,16,6,5,0,27,0.5925925925925926,0.18518518518518517,0,32,6,-5,-0,33
Idaho,Meridian city,12,8,6,1,27,0.4444444444444444,0.2222222222222222,0.037037037037037035,24,8,-6,-2,24
Idaho,Nampa city,13,7,6,1,27,0.48148148148148145,0.2222222222222222,0.037037037037037035,26,7,-6,-2,25
Illinois,Arlington Heights village,13,3,10,1,27,0.48148148148148145,0.37037037037037035,0.037037037037037035,26,3,-10,-2,17
Illinois,Aurora city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
Illinois,Bloomington city,15,6,5,1,27,0.5555555555555556,0.18518518518518517,0.037037037037037035,30,6,-5,-2,29
Illinois,Champaign city,15,6,5,1,27,0.5555555555555556,0.18518518518518517,0.037037037037037035,30,6,-5,-2,29
Illinois,Chicago city,24,3,0,0,27,0.8888888888888888,0,0,48,3,-0,-0,51
Illinois,Cicero town,11,9,7,1,28,0.39285714285714285,0.25,0.03571428571428571,22,9,-7,-2,22
Illinois,Elgin city,12,7,6,2,27,0.4444444444444444,0.2222222222222222,0.07407407407407407,24,7,-6,-4,21
Illinois,Evanston city,12,8,6,1,27,0.4444444444444444,0.2222222222222222,0.037037037037037035,24,8,-6,-2,24
Illinois,Joliet city,12,6,8,1,27,0.4444444444444444,0.2962962962962963,0.037037037037037035,24,6,-8,-2,20
Illinois,Naperville city,12,9,5,1,27,0.4444444444444444,0.18518518518518517,0.037037037037037035,24,9,-5,-2,26
Illinois,Peoria city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
