year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,4,4015,.0439092,1,race-ethnicity,Majority White
2023,4,4017,.068,1,race-ethnicity,All
2023,4,4017,.0717629,1,race-ethnicity,Majority Non-White
2023,4,4017,.0654971,1,race-ethnicity,Majority White
2023,4,4019,.0398417,1,race-ethnicity,All
2023,4,4019,.0516297,1,race-ethnicity,Majority Non-White
2023,4,4019,.0334583,1,race-ethnicity,Majority White
2023,4,4021,.0588462,1,race-ethnicity,All
2023,4,4021,.0670075,1,race-ethnicity,Majority Non-White
2023,4,4021,.0536956,1,race-ethnicity,Majority White
2023,4,4023,.0505457,1,race-ethnicity,All
2023,4,4023,.0546875,1,race-ethnicity,Majority Non-White
2023,4,4023,.0195122,1,race-ethnicity,Majority White
2023,4,4025,.0607091,1,race-ethnicity,All
2023,4,4025,.1311475,1,race-ethnicity,Majority Non-White
2023,4,4025,.0601835,1,race-ethnicity,Majority White
2023,4,4027,.0514295,1,race-ethnicity,All
2023,4,4027,.0548895,1,race-ethnicity,Majority Non-White
2023,4,4027,.0314193,1,race-ethnicity,Majority White
2023,5,5001,.036036,1,race-ethnicity,All
2023,5,5001,NA,NA,race-ethnicity,Majority Non-White
2023,5,5001,.0366972,1,race-ethnicity,Majority White
2023,5,5003,.1362916,1,race-ethnicity,All
2023,5,5003,NA,NA,race-ethnicity,Majority Non-White
2023,5,5003,.1353135,1,race-ethnicity,Majority White
2023,5,5005,.1066056,1,race-ethnicity,All
2023,5,5005,NA,NA,race-ethnicity,Majority Non-White
2023,5,5005,.1066056,1,race-ethnicity,Majority White
2023,5,5007,.0573726,1,race-ethnicity,All
2023,5,5007,.107438,1,race-ethnicity,Majority Non-White
2023,5,5007,.0567056,1,race-ethnicity,Majority White
2023,5,5009,.0637611,1,race-ethnicity,All
2023,5,5009,NA,NA,race-ethnicity,Majority Non-White
2023,5,5009,.0637611,1,race-ethnicity,Majority White
2023,5,5011,.1446541,1,race-ethnicity,All
2023,5,5011,NA,NA,race-ethnicity,Majority Non-White
2023,5,5011,.1446541,1,race-ethnicity,Majority White
2023,5,5013,.1923077,1,race-ethnicity,All
2023,5,5013,NA,NA,race-ethnicity,Majority Non-White
2023,5,5013,.1880342,1,race-ethnicity,Majority White
2023,5,5015,.0598389,1,race-ethnicity,All
2023,5,5015,NA,NA,race-ethnicity,Majority Non-White
2023,5,5015,.0598389,1,race-ethnicity,Majority White
2023,5,5017,.1941748,1,race-ethnicity,All
2023,5,5017,.2038217,1,race-ethnicity,Majority Non-White
2023,5,5017,.1842105,1,race-ethnicity,Majority White
2023,5,5019,.0504886,1,race-ethnicity,All
2023,5,5019,NA,NA,race-ethnicity,Majority Non-White
2023,5,5019,.0486577,1,race-ethnicity,Majority White
2023,5,5021,.1512415,1,race-ethnicity,All
2023,5,5021,NA,NA,race-ethnicity,Majority Non-White
2023,5,5021,.1512415,1,race-ethnicity,Majority White
2023,5,5023,.0357895,1,race-ethnicity,All
2023,5,5023,NA,NA,race-ethnicity,Majority Non-White
2023,5,5023,.0357895,1,race-ethnicity,Majority White
2023,5,5025,.1032864,1,race-ethnicity,All
2023,5,5025,NA,NA,race-ethnicity,Majority Non-White
2023,5,5025,.1032864,1,race-ethnicity,Majority White
2023,5,5027,.1169591,1,race-ethnicity,All
2023,5,5027,NA,NA,race-ethnicity,Majority Non-White
2023,5,5027,.1178203,1,race-ethnicity,Majority White
2023,5,5029,.0486322,1,race-ethnicity,All
